uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"53d24605-c335-4319-8313-a97223d61790","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2017-08-07T20:03Z","2017-08-07T21:21Z",,"NEON.DOC.014048vJ","BARR_054-O-8-3.5-20170807|BARR_054-O-25.5-8-20170807|BARR_054-O-2.5-27-20170807","BARR_054-O-20170807-COMP",,"OK","sfrost@battelleecology.org",,
"030d3702-bbfb-4e0a-8115-7c39f20ab05a","D18","BARR","BARR_003","BARR_003.basePlot.bgc","2017-08-07T23:50Z","2017-08-08T01:05Z",,"NEON.DOC.014048vJ","BARR_003-O-8-14-20170807|BARR_003-O-34.5-36-20170807|BARR_003-O-3-30.5-20170807","BARR_003-O-20170807-COMP",,"OK","sfrost@battelleecology.org",,
"87cd8203-33c4-4ee6-af62-0b1c092d357a","D18","BARR","BARR_006","BARR_006.basePlot.bgc","2017-08-07T23:51Z","2017-08-08T01:16Z",,"NEON.DOC.004130vA","BARR_006-O-11.5-38-20170807|BARR_006-O-1-2-20170807|BARR_006-O-32.5-32-20170807","BARR_006-O-20170807-COMP",,"OK","AVazquez@battelleecology.org",,
"c5ae5d29-72b3-45d5-b339-ad1f271d0a90","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2017-08-08T18:07Z","2017-08-08T19:49Z",,"NEON.DOC.004130vA","BARR_053-O-2.5-11-20170808|BARR_053-O-36-2-20170808|BARR_053-O-2-32-20170808","BARR_053-O-20170808-COMP",,"OK","Sfrost@battelleecology.org",,
"9fbc54c6-d4a6-4ae3-9d29-fd7c9ac6be86","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2017-08-08T20:16Z","2017-08-09T07:07Z",,"NEON.DOC.014048vJ","BARR_002-O-1-19.5-20170808|BARR_002-O-5.5-29-20170808|BARR_002-O-37-10.5-20170808","BARR_002-O-20170808-COMP",,"OK","AVazquez@battelleecology.org",,
"ce07e8e8-144c-4d25-a635-7644f3fc8142","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2017-08-08T20:58Z","2017-08-08T22:16Z",,"NEON.DOC.014048vJ","BARR_051-O-37.5-31-20170808|BARR_051-O-15.5-30-20170808|BARR_051-O-33.5-12-20170808","BARR_051-O-20170808-COMP",,"OK","Sfrost@battelleecology.org",,
"3a93d865-feee-4d9c-a0c3-1d0b0dd152d2","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2017-08-08T21:36Z","2017-08-08T23:17Z",,"NEON.DOC.014048vJ","BARR_052-O-10.5-8.5-20170808|BARR_052-O-8-25-20170808|BARR_052-O-31.5-7.5-20170808","BARR_052-O-20170808-COMP",,"OK","AVazquez@battelleecology.org",,
"9c9799d4-0cb6-42bf-aaab-7559820ad95a","D18","BARR","BARR_004","BARR_004.basePlot.bgc","2017-08-09T18:07Z","2017-08-09T18:58Z",,"NEON.DOC.004130vA","BARR_004-O-5-5.5-20170809|BARR_004-O-25-33.5-20170809|BARR_004-O-4-33.5-20170809","BARR_004-O-20170809-COMP",,"OK","jcurtis@battelleecology.org",,
"ff5a16be-6890-45de-919b-7bfe3188e50b","D18","BARR","BARR_001","BARR_001.basePlot.bgc","2017-08-09T18:30Z","2017-08-09T19:13Z",,"NEON.DOC.004130vA","BARR_001-O-34-33-20170809|BARR_001-O-29-2.5-20170809|BARR_001-O-19-31-20170809","BARR_001-O-20170809-COMP",,"OK","AVazquez@battelleecology.org",,
"d02109c9-36cd-4375-9840-34237a147376","D18","BARR","BARR_005","BARR_005.basePlot.bgc","2017-08-09T21:00Z","2017-08-09T21:24Z",,"NEON.DOC.004130vA","BARR_005-O-21-7-20170809|BARR_005-O-10-31.5-20170809|BARR_005-O-6.5-1.5-20170809","BARR_005-O-20170809-COMP",,"OK","AVazquez@battelleecology.org",,
