uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"dcc8a06c-a2b7-4c68-a7a5-69a49d0f5983","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2021-08-05T19:46Z","2021-08-05T19:46Z","BARR_054-O-6-13.5-20210805","A00000306173","BARR_054-O-6-13.5-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:58Z",0.550,5.730,1.070,8.962,0.100,,,"0000-0002-4645-621X",
"0dcd0ce7-af88-4cde-9cf2-80bced427468","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2021-08-05T20:07Z","2021-08-05T20:07Z","BARR_054-O-36-30-20210805","A00000306175","BARR_054-O-36-30-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:58Z",0.560,5.510,1.390,4.964,0.168,,,"0000-0002-4645-621X",
"9b098a46-d20b-479c-862f-18ae36b2880b","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2021-08-05T20:29Z","2021-08-05T20:29Z","BARR_054-O-37-13-20210805","A00000306174","BARR_054-O-37-13-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:58Z",0.570,5.550,1.350,5.385,0.157,,,"0000-0002-4645-621X",
"650e3e2a-da1e-42bc-88d5-a6e4ae427651","D18","BARR","BARR_001","BARR_001.basePlot.bgc","2021-08-05T22:17Z","2021-08-05T22:17Z","BARR_001-O-39.5-38-20210805","A00000306200","BARR_001-O-39.5-38-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:57Z",0.560,5.650,1.160,7.483,0.118,,,"0000-0002-4645-621X",
"d4fa829c-dce1-4bfa-99f8-cd3485627c94","D18","BARR","BARR_001","BARR_001.basePlot.bgc","2021-08-05T22:48Z","2021-08-05T22:48Z","BARR_001-O-16-38.5-20210805","A00000306201","BARR_001-O-16-38.5-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:55Z",0.580,5.560,1.180,7.300,0.120,,,"0000-0002-4645-621X",
"a95b3a18-7b7b-46bb-b1ad-18a4f545cb87","D18","BARR","BARR_001","BARR_001.basePlot.bgc","2021-08-05T22:57Z","2021-08-05T22:57Z","BARR_001-O-0.5-13-20210805","A00000306202","BARR_001-O-0.5-13-20210805-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:56Z",0.580,5.760,1.230,6.969,0.125,,,"0000-0002-4645-621X",
"d1f0fd83-6d02-4b2c-bc05-6c3913c776b7","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2021-08-06T18:32Z","2021-08-06T18:32Z","BARR_051-O-31.5-19-20210806","A00000306182","BARR_051-O-31.5-19-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:05Z",0.560,5.620,1.640,3.685,0.213,,,"0000-0002-4645-621X",
"091039c5-16d0-4d89-b29a-399fa4938f72","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2021-08-06T19:05Z","2021-08-06T19:05Z","BARR_051-O-32-25-20210806","A00000306183","BARR_051-O-32-25-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:06Z",0.560,5.570,1.740,3.246,0.236,,,"0000-0002-4645-621X",
"d73eb125-9790-4339-b212-8f2f54a19a2d","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2021-08-06T19:24Z","2021-08-06T19:24Z","BARR_051-O-6.5-7-20210806","A00000306184","BARR_051-O-6.5-7-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:05Z",0.570,5.640,1.350,5.500,0.154,,,"0000-0002-4645-621X",
"e6f127bc-a5de-4190-8e7c-6c86e6c1a03a","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2021-08-06T19:47Z","2021-08-06T19:47Z","BARR_053-O-18.5-5.5-20210806","A00000306176","BARR_053-O-18.5-5.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:59Z",0.580,5.590,1.700,3.473,0.224,,,"0000-0002-4645-621X",
"6d96d8ad-5581-456c-b894-300790e6871b","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2021-08-06T20:07Z","2021-08-06T20:07Z","BARR_053-O-22.5-7.5-20210806","A00000306177","BARR_053-O-22.5-7.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T21:59Z",0.550,5.710,1.290,5.973,0.143,,,"0000-0002-4645-621X",
"9bb21d3a-8671-48c1-af8f-c12303484ce1","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2021-08-06T20:23Z","2021-08-06T20:23Z","BARR_053-O-36-26-20210806","A00000306178","BARR_053-O-36-26-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:00Z",0.560,5.840,1.050,9.776,0.093,,,"0000-0002-4645-621X",
"25db3841-15f4-45db-bf4d-7b7a547653ca","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2021-08-06T21:21Z","2021-08-06T21:21Z","BARR_052-O-9.5-14.5-20210806","A00000306181","BARR_052-O-9.5-14.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:02Z",0.560,5.800,1.420,5.093,0.164,,,"0000-0002-4645-621X",
"e0c8e799-edc0-4a20-8cc2-3d8a142eabb1","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2021-08-06T21:39Z","2021-08-06T21:39Z","BARR_052-O-18.5-37-20210806","A00000306180","BARR_052-O-18.5-37-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:02Z",0.560,5.680,1.180,7.258,0.121,,,"0000-0002-4645-621X",
"ea8a6300-d41d-4b29-98ba-8e499def7a2c","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2021-08-06T21:53Z","2021-08-06T21:53Z","BARR_052-O-33.5-1-20210806","A00000306179","BARR_052-O-33.5-1-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:02Z",0.570,5.790,1.490,4.674,0.176,,,"0000-0002-4645-621X",
"81991a89-088b-4f43-b88a-258d2255bdb2","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2021-08-06T22:43Z","2021-08-06T22:43Z","BARR_002-O-17.5-32.5-20210806","A00000306199","BARR_002-O-17.5-32.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:01Z",0.550,5.490,1.450,4.489,0.182,,,"0000-0002-4645-621X",
"1469a712-c1e0-4f6c-ab75-a4b07069c51c","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2021-08-06T23:17Z","2021-08-06T23:17Z","BARR_002-O-0.5-7.5-20210806","A00000306198","BARR_002-O-0.5-7.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:01Z",0.550,5.530,2.620,1.406,0.416,,,"0000-0002-4645-621X",
"2a80287e-cbf0-42c0-8333-b8c12443e52b","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2021-08-06T23:47Z","2021-08-06T23:47Z","BARR_002-O-33-7.5-20210806","A00000306197","BARR_002-O-33-7.5-20210806-SM","NEON.DOC.014048vN","O","2021-08-08T04:08Z","2021-08-11T22:00Z",0.560,5.700,1.720,3.431,0.226,,,"0000-0002-4645-621X",
"9846b1c2-a5ea-41c0-a5a7-8399284128c0","D18","BARR","BARR_004","BARR_004.basePlot.bgc","2021-08-07T19:30Z","2021-08-07T19:30Z","BARR_004-O-1-5-20210807","A00000306191","BARR_004-O-1-5-20210807-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:06Z",0.550,5.440,1.940,2.518,0.284,,,"0000-0002-4645-621X",
"74126c25-6da9-4109-a7ae-14ed2a90d9d5","D18","BARR","BARR_004","BARR_004.basePlot.bgc","2021-08-07T19:51Z","2021-08-07T19:51Z","BARR_004-O-5.5-24.5-20210807","A00000306192","BARR_004-O-5.5-24.5-20210807-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:07Z",0.550,5.820,1.230,6.750,0.129,,,"0000-0002-4645-621X",
"2bd80c10-c743-4761-b9cc-bf6847647fc4","D18","BARR","BARR_004","BARR_004.basePlot.bgc","2021-08-07T20:10Z","2021-08-07T20:10Z","BARR_004-M-31.5-33-20210807","A00000306193","BARR_004-M-31.5-33-20210807-SM","NEON.DOC.014048vN","M","2021-08-08T04:43Z","2021-08-11T22:08Z",0.540,10.640,7.720,0.407,0.711,,,"0000-0002-4645-621X",
"4d46f64a-7f98-4ef2-a00d-6466b6609d4c","D18","BARR","BARR_006","BARR_006.basePlot.bgc","2021-08-07T21:58Z","2021-08-07T21:58Z","BARR_006-O-15-37.5-20210807","A00000306185","BARR_006-O-15-37.5-20210807-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:09Z",0.570,5.790,1.120,8.491,0.105,,,"0000-0002-4645-621X",
"98f9dfc5-6dda-44a3-adfb-1c5a586d3349","D18","BARR","BARR_006","BARR_006.basePlot.bgc","2021-08-07T22:20Z","2021-08-07T22:20Z","BARR_006-O-18-9-20210807","A00000306186","BARR_006-O-18-9-20210807-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:09Z",0.550,5.580,1.510,4.240,0.191,,,"0000-0002-4645-621X",
"909fb0a8-6b09-45f5-8c72-0b988583cc68","D18","BARR","BARR_006","BARR_006.basePlot.bgc","2021-08-07T22:37Z","2021-08-07T22:37Z","BARR_006-O-24-9.5-20210807","A00000306187","BARR_006-O-24-9.5-20210807-SM","NEON.DOC.014048vN","O","2021-08-08T04:43Z","2021-08-11T22:08Z",0.580,5.960,1.480,4.978,0.167,,,"0000-0002-4645-621X",
"3ecc243f-991a-41dc-8992-fec3c1ff912b","D18","BARR","BARR_005","BARR_005.basePlot.bgc","2021-08-08T19:41Z","2021-08-08T19:41Z","BARR_005-O-8.5-13.5-20210808","A00000306190","BARR_005-O-8.5-13.5-20210808-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:00Z",0.560,5.610,1.440,4.739,0.174,,,"0000-0001-5229-6366",
"62eb4148-d48f-421b-bb39-ae76a35b7c9f","D18","BARR","BARR_005","BARR_005.basePlot.bgc","2021-08-08T19:57Z","2021-08-08T19:57Z","BARR_005-O-6-29.5-20210808","A00000306189","BARR_005-O-6-29.5-20210808-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:01Z",0.550,5.500,1.310,5.513,0.154,,,"0000-0001-5229-6366",
"898ab4ea-00db-4ed7-b283-441436cc2251","D18","BARR","BARR_005","BARR_005.basePlot.bgc","2021-08-08T20:13Z","2021-08-08T20:13Z","BARR_005-O-30.5-30-20210808","A00000306188","BARR_005-O-30.5-30-20210808-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:01Z",0.550,5.560,1.540,4.061,0.198,,,"0000-0001-5229-6366",
"336a8bef-2dd6-44f6-b41c-5ffbe548baa8","D18","BARR","BARR_003","BARR_003.basePlot.bgc","2021-08-09T20:31Z","2021-08-09T20:31Z","BARR_003-O-5.5-30-20210809","A00000306196","BARR_003-O-5.5-30-20210809-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:02Z",0.550,5.550,1.090,8.259,0.108,,,"0000-0001-5229-6366",
"610cfc92-a1ff-4912-b216-13e560f2219e","D18","BARR","BARR_003","BARR_003.basePlot.bgc","2021-08-09T20:49Z","2021-08-09T20:49Z","BARR_003-O-24.5-35-20210809","A00000306195","BARR_003-O-24.5-35-20210809-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:03Z",0.580,5.560,1.110,8.396,0.106,,,"0000-0001-5229-6366",
"e9722af2-0117-4e5e-b3f3-57e7c8dcedbe","D18","BARR","BARR_003","BARR_003.basePlot.bgc","2021-08-09T21:06Z","2021-08-09T21:06Z","BARR_003-O-38.5-17-20210809","A00000306194","BARR_003-O-38.5-17-20210809-SM","NEON.DOC.014048vN","O","2021-08-10T00:00Z","2021-08-12T18:02Z",0.550,5.550,1.270,5.944,0.144,,,"0000-0001-5229-6366",
