uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"69eb0b57-1635-4649-999c-7ccb26bf6a88","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T17:46Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_054-M-21-20220824","BARR_054-M-20220824-COMP","B00000145756","OK","0000-0002-2117-4697",,
"23373a75-d2e2-45b9-8373-22723a1f4551","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T18:56Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_054-O-21-20220824|BARR_054-O-23-20220824|BARR_054-O-41-20220824","BARR_054-O-20220824-COMP","B00000145755","OK","0000-0002-2117-4697",,
"d51f8c95-d363-441b-9b35-13da1ced16d5","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T20:34Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_051-M-21-20220824|BARR_051-M-41-20220824","BARR_051-M-20220824-COMP","B00000145762","OK","0000-0002-2117-4697",,
"a7f0ed78-e8e5-47b8-be0e-657c19bb3a5f","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T20:34Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_051-O-39-20220824|BARR_051-O-41-20220824|BARR_051-O-21-20220824","BARR_051-O-20220824-COMP","B00000145761","OK","0000-0002-2117-4697",,
"eb11d06f-eb2b-4c05-b041-87555a721b1d","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T21:46Z","2022-08-24T22:29Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_052-O-41-20220824|BARR_052-O-23-20220824","BARR_052-O-20220824-COMP","B00000145760","OK","0000-0002-2117-4697",,
"4776ef58-3815-453b-a221-8d6beaf7c4f8","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T21:46Z","2022-08-24T22:57Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_052-M-23-20220824|BARR_052-M-21-20220824|BARR_052-M-41-20220824","BARR_052-M-20220824-COMP","B00000145759","OK","0000-0002-2117-4697",,
"842adacf-1368-4cd0-9db0-818d5f39387f","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2022-08-25T00:25Z","2022-08-25T00:53Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_053-O-41-20220824|BARR_053-O-23-20220824|BARR_053-O-39-20220824","BARR_053-O-20220824-COMP","B00000145757","OK","0000-0002-2117-4697",,
"f593990b-b83a-4d3f-b37c-02efb17b194f","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2022-08-25T00:36Z","2022-08-25T01:18Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_002-M-39-20220824|BARR_002-M-41-20220824|BARR_002-M-21-20220824","BARR_002-M-20220824-COMP","B00000145752","OK","0000-0002-2117-4697",,
"5220b6c8-be02-4dcd-a482-ae606921870c","D18","BARR","BARR_002","BARR_002.basePlot.bgc","2022-08-25T00:36Z","2022-08-25T01:18Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_002-O-41-20220824|BARR_002-O-39-20220824","BARR_002-O-20220824-COMP","B00000145751","OK","0000-0002-2117-4697",,
"79b147a2-9e8c-4d30-9fca-c6e51604a9c5","D18","BARR","BARR_053","BARR_053.basePlot.bgc","2022-08-25T00:40Z","2022-08-25T00:53Z","BARR.peakGreenness.2022","NEON.DOC.014048vO","BARR_053-M-23-20220824|BARR_053-M-41-20220824","BARR_053-M-20220824-COMP","B00000145758","OK","0000-0002-2117-4697",,
