uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"e57a7737-dd96-4d51-815d-3dc30672a04d","2022-10-28","BARR_054.basePlot.bgc","D18","BARR","BARR_054","tower","2022-08-24T17:46Z","2022-08-24T17:46Z","BARR_054-O-21-20220824","A00000309406","BARR_054-O-21-20220824-CN","A00000310188","soil","N","N",1.0,-26.3,1.20,39.86,33.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"8158d932-fd25-4142-81a8-04273520cfe6","2022-10-27","BARR_054.basePlot.bgc","D18","BARR","BARR_054","tower","2022-08-24T17:46Z","2022-08-24T17:46Z","BARR_054-M-21-20220824","A00000309487","BARR_054-M-21-20220824-CN","A00000310180","soil","N","N",1.6,-27.1,0.30,5.60,19.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"70bfcfc9-9b12-4915-8067-b0a71c7865bc","2022-10-28","BARR_054.basePlot.bgc","D18","BARR","BARR_054","tower","2022-08-24T17:46Z","2022-08-24T17:46Z","BARR_054-O-21-20220824","A00000309406","BARR_054-O-21-20220824-CN","A00000310188","soil","N","N",1.0,-26.3,1.20,39.37,32.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"99eb5228-481c-42d9-9d39-7f3d375db234","2022-10-28","BARR_054.basePlot.bgc","D18","BARR","BARR_054","tower","2022-08-24T18:20Z","2022-08-24T18:20Z","BARR_054-O-41-20220824","A00000309405","BARR_054-O-41-20220824-CN","A00000310208","soil","N","N",-0.6,-27.6,1.56,43.18,27.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"e97d2ba4-59fc-444b-b538-272fd36e2e83","2022-10-28","BARR_054.basePlot.bgc","D18","BARR","BARR_054","tower","2022-08-24T18:56Z","2022-08-24T18:56Z","BARR_054-O-23-20220824","A00000309407","BARR_054-O-23-20220824-CN","A00000310191","soil","N","N",0.4,-26.3,1.12,39.34,35.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"b3b315b2-5b3f-448c-9540-c248db325781","2022-10-27","BARR_051.basePlot.bgc","D18","BARR","BARR_051","tower","2022-08-24T19:49Z","2022-08-24T19:49Z","BARR_051-M-21-20220824","A00000309497","BARR_051-M-21-20220824-CN","A00000310183","soil","N","N",2.0,-28.3,1.14,21.79,19.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"782bdfc2-371f-439d-bbac-24f2622df0a9","2022-10-28","BARR_051.basePlot.bgc","D18","BARR","BARR_051","tower","2022-08-24T19:49Z","2022-08-24T19:49Z","BARR_051-O-21-20220824","A00000309416","BARR_051-O-21-20220824-CN","A00000310182","soil","N","N",1.3,-28.8,1.66,42.60,25.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9762858f-1d9c-4017-bd8b-cc2e44a4acd3","2022-10-28","BARR_051.basePlot.bgc","D18","BARR","BARR_051","tower","2022-08-24T20:17Z","2022-08-24T20:17Z","BARR_051-O-39-20220824","A00000309415","BARR_051-O-39-20220824-CN","A00000310197","soil","N","N",1.3,-27.1,1.29,36.42,28.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"37d5f166-3fae-4bab-9fca-bb66a1dd0030","2022-10-27","BARR_051.basePlot.bgc","D18","BARR","BARR_051","tower","2022-08-24T20:34Z","2022-08-24T20:34Z","BARR_051-M-41-20220824","A00000309495","BARR_051-M-41-20220824-CN","A00000310203","soil","N","N",5.0,-27.1,1.53,25.87,16.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"7b34c753-8295-4387-9b59-21609fa260e1","2022-10-28","BARR_051.basePlot.bgc","D18","BARR","BARR_051","tower","2022-08-24T20:34Z","2022-08-24T20:34Z","BARR_051-O-41-20220824","A00000309414","BARR_051-O-41-20220824-CN","A00000310202","soil","N","N",4.1,-26.5,1.41,46.87,33.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
