uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF
"7c2f33f2-8a59-4320-844a-33eb54982645","D18","BARR","BARR_005","BARR_005.basePlot.bgc","distributed","sedgeHerbaceous","21_400",,,"WGS84",71.242584,-156.311981,20.1,4.0,0.10,"NEON.DOC.014048vO","2022-06-28T16:00Z","2022-08-24T16:00Z","peakGreenness","unknown - logistical","BARR.peakGreenness.2022",,"tInitial","microbesBiomassBGC","other",,,"BARR_005-21-20220824-OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sampling did not occur due to challenges in accessing the site","0000-0002-0123-6184",
"d8c77142-a76a-4762-ae8f-ba0d8fd6f49f","D18","BARR","BARR_005","BARR_005.basePlot.bgc","distributed","sedgeHerbaceous","23_400",,,"WGS84",71.242584,-156.311981,20.1,4.0,0.10,"NEON.DOC.014048vO","2022-08-24T16:00Z","2022-08-24T16:00Z","peakGreenness","unknown - logistical","BARR.peakGreenness.2022",,"tInitial","microbesBiomassBGC","other",,,"BARR_005-23-20220824-OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sampling did not occur due to challenges in accessing the site","0000-0002-0123-6184",
"2bff8c69-b988-4be3-9721-033a273d2571","D18","BARR","BARR_005","BARR_005.basePlot.bgc","distributed","sedgeHerbaceous","41_400",,,"WGS84",71.242584,-156.311981,20.1,4.0,0.10,"NEON.DOC.014048vO","2022-08-24T16:00Z","2022-08-24T16:00Z","peakGreenness","unknown - logistical","BARR.peakGreenness.2022",,"tInitial","microbesBiomassBGC","other",,,"BARR_005-41-20220824-OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sampling did not occur due to challenges in accessing the site","0000-0002-0123-6184",
"40a6a0e8-3377-4ae5-b9a5-4a34c9d4a4b7","D18","BARR","BARR_054","BARR_054.basePlot.bgc","tower","sedgeHerbaceous","21_400",5.5,14.0,"WGS84",71.280858,-156.636941,20.0,6.0,0.01,"NEON.DOC.014048vO","2022-08-24T17:46Z","2022-08-24T17:46Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_054-M-21-20220824","A00000309487","N","M","OK",1.1,0.0,17.3,30.0,"entire","brownie cutter",1,"BARR_054-M-21-20220824-GEN","B00000145715","OK","ice packs",,"C00000054995",,"C00000054953",,,,,,,"ice packs","5 mL vial","BARR_054-M-21-20220824-BM","B00000145824","OK",,"0000-0002-2117-4697","missing-N-trans"
"95eee4e6-010d-4bca-a993-2d559937830d","D18","BARR","BARR_054","BARR_054.basePlot.bgc","tower","sedgeHerbaceous","21_400",5.5,14.0,"WGS84",71.280858,-156.636941,20.0,6.0,0.01,"NEON.DOC.014048vO","2022-08-24T17:46Z","2022-08-24T17:46Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_054-O-21-20220824","A00000309406","N","O","OK",1.1,0.0,0.0,17.3,"entire","brownie cutter",1,"BARR_054-O-21-20220824-GEN","B00000145686","OK","ice packs",,"C00000054936",,"C00000111229",,,,,,,"ice packs","5 mL vial","BARR_054-O-21-20220824-BM","B00000008089","OK",,"0000-0002-2117-4697","missing-N-trans"
"30c8d73d-bee1-44bb-aa52-fd6929a1f60b","D18","BARR","BARR_054","BARR_054.basePlot.bgc","tower","sedgeHerbaceous","41_400",37.0,31.0,"WGS84",71.280858,-156.636941,20.0,6.0,0.01,"NEON.DOC.004130vE","2022-08-24T18:20Z","2022-08-24T18:20Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",13.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_054-O-41-20220824","A00000309405","N","O","OK",,0.0,0.0,30.0,"maximum","brownie cutter",1,"BARR_054-O-41-20220824-GEN","B00000145685","OK","ice packs",,"C00000111344",,"C00000111317",,,,,,,"ice packs","5 mL vial","BARR_054-O-41-20220824-BM","B00000008087","OK","soil temp not measured due to standing water","0000-0002-2117-4697","missing-N-trans"
"6db7f6be-42a2-400e-b2c8-cc811355579a","D18","BARR","BARR_054","BARR_054.basePlot.bgc","tower","sedgeHerbaceous","23_400",33.5,7.0,"WGS84",71.280858,-156.636941,20.0,6.0,0.01,"NEON.DOC.014048vO","2022-08-24T18:56Z","2022-08-24T18:56Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_054-O-23-20220824","A00000309407","N","O","OK",1.1,0.0,0.0,23.5,"obstruction","brownie cutter",1,"BARR_054-O-23-20220824-GEN","B00000145687","OK","ice packs",,"C00000111287",,"C00000054993",,,,,,,"ice packs","5 mL vial","BARR_054-O-23-20220824-BM","B00000008088","OK","Hit active layer","0000-0002-2117-4697","missing-N-trans"
"e5b6d76a-0030-4be2-89ce-93075dddd487","D18","BARR","BARR_051","BARR_051.basePlot.bgc","tower","emergentHerbaceousWetlands","21_400",0.0,15.0,"WGS84",71.285604,-156.607878,20.0,5.3,0.01,"NEON.DOC.004130vE","2022-08-24T19:49Z","2022-08-24T19:49Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",4.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_051-M-21-20220824","A00000309497","N","M","OK",2.5,0.0,20.8,30.0,"obstruction","brownie cutter",1,"BARR_051-M-21-20220824-GEN","B00000145725","OK","ice packs",,"C00000111485",,"C00000111471",,,,,,,"ice packs","5 mL vial","BARR_051-M-21-20220824-BM","B00000145805","OK","Hit active layer.","0000-0002-2260-8688","missing-N-trans"
"29d75ea5-a2fd-4ae0-923c-17c28e40cbf5","D18","BARR","BARR_051","BARR_051.basePlot.bgc","tower","emergentHerbaceousWetlands","21_400",0.0,15.0,"WGS84",71.285604,-156.607878,20.0,5.3,0.01,"NEON.DOC.004130vE","2022-08-24T19:49Z","2022-08-24T19:49Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",4.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_051-O-21-20220824","A00000309416","N","O","OK",2.5,0.0,0.0,20.8,"entire","brownie cutter",1,"BARR_051-O-21-20220824-GEN","B00000145696","OK","ice packs",,"C00000054926",,"C00000111472",,,,,,,"ice packs","5 mL vial","BARR_051-O-21-20220824-BM","B00000008110","OK","Hit active layer.","0000-0002-2260-8688","missing-N-trans"
"5aed0133-5e37-49a7-9c3c-b5a978fcb890","D18","BARR","BARR_051","BARR_051.basePlot.bgc","tower","emergentHerbaceousWetlands","39_400",6.5,28.0,"WGS84",71.285604,-156.607878,20.0,5.3,0.01,"NEON.DOC.014048vO","2022-08-24T20:17Z","2022-08-24T20:17Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_051-O-39-20220824","A00000309415","N","O","OK",3.2,0.0,0.0,30.0,"maximum","brownie cutter",1,"BARR_051-O-39-20220824-GEN","B00000145695","OK","ice packs",,"C00000111362",,"C00000054987",,,,,,,"ice packs","5 mL vial","BARR_051-O-39-20220824-BM","B00000008111","OK",,"0000-0002-2260-8688","missing-N-trans"
"39e9f7b5-4831-4784-a7b0-1c86a8b934e6","D18","BARR","BARR_051","BARR_051.basePlot.bgc","tower","emergentHerbaceousWetlands","41_400",32.5,32.0,"WGS84",71.285604,-156.607878,20.0,5.3,0.01,"NEON.DOC.014048vO","2022-08-24T20:34Z","2022-08-24T20:34Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_051-M-41-20220824","A00000309495","N","M","OK",1.1,0.0,6.8,22.8,"obstruction","brownie cutter",1,"BARR_051-M-41-20220824-GEN","B00000145723","OK","ice packs",,"C00000111483",,"C00000054934",,,,,,,"ice packs","5 mL vial","BARR_051-M-41-20220824-BM","B00000145800","OK","Hit active layer.","0000-0002-2260-8688","missing-N-trans"
"07fd0a1f-dc7f-47ae-8dad-d319b2fb1df9","D18","BARR","BARR_051","BARR_051.basePlot.bgc","tower","emergentHerbaceousWetlands","41_400",32.5,32.0,"WGS84",71.285604,-156.607878,20.0,5.3,0.01,"NEON.DOC.014048vO","2022-08-24T20:34Z","2022-08-24T20:34Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_051-O-41-20220824","A00000309414","N","O","OK",1.1,0.0,0.0,6.8,"entire","brownie cutter",2,"BARR_051-O-41-20220824-GEN","B00000145694","OK","ice packs",,"C00000054959",,"C00000111476",,,,,,,"ice packs","5 mL vial","BARR_051-O-41-20220824-BM","B00000008112","OK",,"0000-0002-2260-8688","missing-N-trans"
"fee92dd2-014b-4f2f-9d23-f66fe5869a94","D18","BARR","BARR_052","BARR_052.basePlot.bgc","tower","emergentHerbaceousWetlands","41_400",32.5,31.0,"WGS84",71.281336,-156.603652,20.0,5.4,0.03,"NEON.DOC.014048vO","2022-08-24T21:46Z","2022-08-24T21:46Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_052-M-41-20220824","A00000309492","N","M","OK",1.8,0.0,8.5,30.0,"maximum","brownie cutter",1,"BARR_052-M-41-20220824-GEN","B00000145720","OK","ice packs",,"C00000111361",,"C00000111467",,,,,,,"ice packs","5 mL vial","BARR_052-M-41-20220824-BM","B00000145811","OK",,"0000-0003-0776-7397","missing-N-trans"
"4c19c259-c988-4ef6-a68b-d7ad14210600","D18","BARR","BARR_052","BARR_052.basePlot.bgc","tower","emergentHerbaceousWetlands","41_400",32.5,31.0,"WGS84",71.281336,-156.603652,20.0,5.4,0.03,"NEON.DOC.014048vO","2022-08-24T21:46Z","2022-08-24T21:46Z","peakGreenness","OK - schedule change but conditions met","BARR.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"BARR_052-O-41-20220824","A00000309411","N","O","OK",1.8,0.0,0.0,8.5,"maximum","brownie cutter",1,"BARR_052-O-41-20220824-GEN","B00000145691","OK","ice packs",,"C00000111468",,"C00000111465",,,,,,,"ice packs","5 mL vial","BARR_052-O-41-20220824-BM","B00000008115","OK",,"0000-0003-0776-7397","missing-N-trans"
