uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"dd8b4150-19d4-4e35-8a18-6712ec73c9b4","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T17:46Z","2022-10-26","BARR_054-O-21-20220824","A00000309406","BARR_054-O-21-20220824-PH","NEON.DOC.014048vO","O",5.93,4.84,3.5,50.0,14.2,3.5,100.0,28.3,,"0000-0002-2117-4697",
"fa89af05-eef5-42e0-96f3-7933fe29990c","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T17:46Z","2022-10-26","BARR_054-M-21-20220824","A00000309487","BARR_054-M-21-20220824-PH","NEON.DOC.014048vO","M",6.36,5.58,10.3,20.0,1.9,10.3,40.0,3.9,,"0000-0002-2117-4697",
"ec26548a-e1da-4a11-ba61-06dd6d91a91d","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T18:20Z","2022-08-24T18:20Z","2022-10-26","BARR_054-O-41-20220824","A00000309405","BARR_054-O-41-20220824-PH","NEON.DOC.014048vO","O",6.12,4.75,3.3,50.0,15.2,3.3,100.0,30.3,,"0000-0002-2117-4697",
"d33e3692-4417-4fd9-9582-835d4c669346","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T18:56Z","2022-08-24T18:56Z","2022-10-26","BARR_054-O-23-20220824","A00000309407","BARR_054-O-23-20220824-PH","NEON.DOC.014048vO","O",6.18,4.93,3.0,50.0,16.7,3.0,100.0,33.3,,"0000-0002-2117-4697",
"451a585a-16ac-44f9-982e-e243e0ae3d8e","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T19:49Z","2022-10-26","BARR_051-M-21-20220824","A00000309497","BARR_051-M-21-20220824-PH","NEON.DOC.014048vO","M",5.33,4.50,10.0,10.0,1.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"92a5c4a7-cf3d-46b6-8d37-f5f43a4c94d7","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T19:49Z","2022-10-26","BARR_051-O-21-20220824","A00000309416","BARR_051-O-21-20220824-PH","NEON.DOC.014048vO","O",6.10,4.95,2.5,60.0,24.0,2.5,120.0,48.0,,"0000-0002-2117-4697",
"eb2e5295-0aca-4bc3-845c-2f5b92499846","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:17Z","2022-08-24T20:17Z","2022-10-26","BARR_051-O-39-20220824","A00000309415","BARR_051-O-39-20220824-PH","NEON.DOC.014048vO","O",5.57,4.61,4.0,50.0,12.5,4.0,100.0,25.0,,"0000-0002-2117-4697",
"c3ad9a80-1800-4605-bdff-c5f2d30f2a16","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:34Z","2022-08-24T20:34Z","2022-10-26","BARR_051-O-41-20220824","A00000309414","BARR_051-O-41-20220824-PH","NEON.DOC.014048vO","O",5.58,4.12,4.0,70.0,17.5,4.0,140.0,35.0,,"0000-0002-2117-4697",
"090b47f6-14fb-48f8-bd22-c3a62333965b","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:34Z","2022-08-24T20:34Z","2022-10-26","BARR_051-M-41-20220824","A00000309495","BARR_051-M-41-20220824-PH","NEON.DOC.014048vO","M",5.33,4.45,10.1,20.0,2.0,10.1,40.0,4.0,,"0000-0002-2117-4697",
"e8f7d8c7-c15c-4b99-a945-1aa8ad53dae5","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T21:46Z","2022-08-24T21:46Z","2022-10-26","BARR_052-M-41-20220824","A00000309492","BARR_052-M-41-20220824-PH","NEON.DOC.014048vO","M",5.35,4.61,10.1,20.0,2.0,10.1,40.0,4.0,,"0000-0002-2117-4697",
"62905baa-3997-444d-a0ba-47a8b7a404ec","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T21:46Z","2022-08-24T21:46Z","2022-10-26","BARR_052-O-41-20220824","A00000309411","BARR_052-O-41-20220824-PH","NEON.DOC.014048vO","O",5.95,4.82,5.1,50.0,9.8,5.1,100.0,19.7,,"0000-0002-2117-4697",
"c5182c67-381d-486e-9c6a-7f87ade820a4","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T22:29Z","2022-08-24T22:29Z","2022-10-26","BARR_052-M-23-20220824","A00000309493","BARR_052-M-23-20220824-PH","NEON.DOC.014048vO","M",5.55,5.07,10.3,10.0,1.0,10.3,20.0,1.9,,"0000-0002-2117-4697",
"8a6027c0-6a70-43ca-acb3-51d5e9e74a9d","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T22:29Z","2022-08-24T22:29Z","2022-10-26","BARR_052-O-23-20220824","A00000309412","BARR_052-O-23-20220824-PH","NEON.DOC.014048vO","O",6.05,4.71,5.0,50.0,10.0,5.0,100.0,19.9,,"0000-0002-2117-4697",
"b339d340-a888-4578-8867-6473170d6b6d","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T22:57Z","2022-08-24T22:57Z","2022-10-26","BARR_052-M-21-20220824","A00000309413","BARR_052-M-21-20220824-PH","NEON.DOC.014048vO","M",5.38,4.52,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-2117-4697",
