uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"ebe08642-43e5-4ee8-b075-6ee253bff286","2018-02-07","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T17:42Z","2017-07-19T17:42Z","TOOL_043-O-5-7-20170719",,"TOOL_043-O-5-7-20170719-CN",,"soil","N",,2.5,-25.8,0.78,39.76,50.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"60ada29c-909a-4398-831b-20f2ada437f2","2018-02-07","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T17:50Z","2017-07-19T17:50Z","TOOL_041-O-13-5.5-20170719",,"TOOL_041-O-13-5.5-20170719-CN",,"soil","N",,0.7,-26.1,1.37,43.58,31.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"5da74364-f9cd-45f5-b2ee-d4369aa22a41","2018-01-22","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T18:30Z","2017-07-19T18:30Z","TOOL_043-M-5-7-20170719",,"TOOL_043-M-5-7-20170719-CN",,"soil","N",,2.4,-27.5,0.12,2.59,21.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod"
"f37e54a5-5670-4b5c-8acf-c931f8a11aa8","2018-02-07","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T18:38Z","2017-07-19T18:38Z","TOOL_041-O-4.5-27-20170719",,"TOOL_041-O-4.5-27-20170719-CN",,"soil","N",,-0.7,-26.5,0.92,36.57,39.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"7fcfd716-bc92-4740-80f4-f23130da2499","2018-02-07","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T18:38Z","2017-07-19T18:38Z","TOOL_041-O-4.5-27-20170719",,"TOOL_041-O-4.5-27-20170719-CN",,"soil","N",,-0.4,-26.5,0.98,36.85,37.5,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"5e350f23-307a-4473-8ea7-c2015c04f1ca","2018-01-22","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T18:54Z","2017-07-19T18:54Z","TOOL_041-M-4.5-27-20170719",,"TOOL_041-M-4.5-27-20170719-CN",,"soil","N",,3.0,-26.1,0.15,3.09,20.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod"
"10c43304-52ea-47c0-a2a8-ce31b1cf4660","2018-02-07","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T18:58Z","2017-07-19T18:58Z","TOOL_043-O-7.5-31-20170719",,"TOOL_043-O-7.5-31-20170719-CN",,"soil","N",,3.8,-25.7,0.89,34.95,39.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"180b93a6-5715-41ca-87ce-ba2fb78041f6","2018-02-07","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T19:37Z","2017-07-19T19:37Z","TOOL_043-O-32.5-27-20170719",,"TOOL_043-O-32.5-27-20170719-CN",,"soil","N",,3.0,-26.6,1.90,37.76,19.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"d3d3a85d-8544-40a4-a54f-dc37d9c1932b","2018-02-07","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T20:00Z","2017-07-19T20:00Z","TOOL_041-O-36.5-26-20170719",,"TOOL_041-O-36.5-26-20170719-CN",,"soil","N",,1.6,-26.8,1.48,31.59,21.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"606e065e-4aa2-48f5-a93f-079cbd75d6d1","2018-02-07","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-19T20:51Z","2017-07-19T20:51Z","TOOL_042-O-9.5-15-20170719",,"TOOL_042-O-9.5-15-20170719-CN",,"soil","N",,0.9,-26.0,1.43,32.83,23.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
