uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"e0b8da11-bc8e-405a-bb23-a92c9f378f9b","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","2017-07-19T17:42Z","2017-08-17T06:47Z","TOOL_043-O-5-7-20170816",,"TOOL_043-O-5-7-20170816-KCL",,"ok","2018-03-20",0.890,1,"OK",,"2018-03-23",0.109,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"06537ad6-58ea-4a9c-86bd-0c78379cbf22","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","2017-07-19T17:50Z","2017-08-17T07:06Z","TOOL_041-O-13-5.5-20170816",,"TOOL_041-O-13-5.5-20170816-KCL",,"ok","2018-03-20",0.816,1,"OK",,"2018-03-23",0.090,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"538a1e84-1d1b-471a-b820-ba89a10a3af3","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","2017-07-19T18:30Z","2017-08-17T06:50Z","TOOL_043-M-5-7-20170816",,"TOOL_043-M-5-7-20170816-KCL",,"ok","2018-03-20",1.327,1,"OK",,"2018-03-26",0.211,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"d36866a3-83b7-43dd-8924-436e04c2959c","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","2017-07-19T18:38Z","2017-08-17T07:18Z","TOOL_041-O-4.5-27-20170816",,"TOOL_041-O-4.5-27-20170816-KCL",,"ok","2018-03-20",1.048,1,"OK",,"2018-03-23",0.130,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"0a932cca-7803-4057-aee5-fdf01fac6c53","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","2017-07-19T18:54Z","2017-08-17T07:20Z","TOOL_041-M-4.5-27-20170816",,"TOOL_041-M-4.5-27-20170816-KCL",,"ok","2018-03-20",0.866,1,"OK",,"2018-03-23",0.170,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"21308dea-f565-4b56-bf9f-fe93b9294d93","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","2017-07-19T18:58Z","2017-08-17T06:53Z","TOOL_043-O-7.5-31-20170816",,"TOOL_043-O-7.5-31-20170816-KCL",,"ok","2018-03-20",1.201,1,"OK",,"2018-03-23",0.137,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"88959cb2-f3c3-4465-85c2-7dbd1d5cbfe4","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","2017-07-19T19:37Z","2017-08-17T06:55Z","TOOL_043-O-32.5-27-20170816",,"TOOL_043-O-32.5-27-20170816-KCL",,"ok","2018-03-20",0.953,1,"OK",,"2018-03-23",0.230,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"96cc697f-d02b-42b9-bdd3-c9330e28273f","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","2017-07-19T20:00Z","2017-08-17T07:27Z","TOOL_041-O-36.5-26-20170816",,"TOOL_041-O-36.5-26-20170816-KCL",,"ok","2018-03-20",1.398,1,"OK",,"2018-03-23",0.175,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"43dc78eb-12f2-4e3e-8566-0b276d7f0ad9","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-19T20:51Z","2017-08-16T17:45Z","TOOL_042-O-9.5-15-20170816",,"TOOL_042-O-9.5-15-20170816-KCL",,"ok","2018-03-20",0.687,1,"OK",,"2018-03-23",0.201,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"16be3a87-eab9-4b02-812b-f44eeb855754","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-19T21:09Z","2017-08-16T17:58Z","TOOL_042-M-9.5-15-20170816",,"TOOL_042-M-9.5-15-20170816-KCL",,"ok","2018-03-20",0.684,1,"OK",,"2018-03-23",0.052,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
