uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF
"7e9036b0-f2fa-461b-ba82-5df41534e5b3","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T17:42Z","2017-08-17T06:47Z","NEON.DOC.014048vJ","TOOL_043-O-5-7-20170816",,"TOOL_043-O-5-7-20170816-KCL",,"TOOL_043-O-5-7","tFinal",28.55,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.03,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"fdb66269-597d-4f6f-b0ba-94c3ad33cd6c","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T17:50Z","2017-08-17T07:06Z","NEON.DOC.014048vJ","TOOL_041-O-13-5.5-20170816",,"TOOL_041-O-13-5.5-20170816-KCL",,"TOOL_041-O-13-5.5","tFinal",28.55,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.00,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"f4e4d3de-4c43-433a-8f52-30e4731412c5","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T18:30Z","2017-08-17T06:50Z","NEON.DOC.014048vJ","TOOL_043-M-5-7-20170816",,"TOOL_043-M-5-7-20170816-KCL",,"TOOL_043-M-5-7","tFinal",28.51,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.01,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"3a8b1095-3a6f-4e76-a5b1-9354c05a3271","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T18:38Z","2017-08-17T07:18Z","NEON.DOC.014048vJ","TOOL_041-O-4.5-27-20170816",,"TOOL_041-O-4.5-27-20170816-KCL",,"TOOL_041-O-4.5-27","tFinal",28.53,"2017-08-17T23:20Z","TOOL-20170817-BRef1",9.97,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"6d3ed045-301b-4f7b-88b1-adfbab6da8bc","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T18:54Z","2017-08-17T07:20Z","NEON.DOC.014048vJ","TOOL_041-M-4.5-27-20170816",,"TOOL_041-M-4.5-27-20170816-KCL",,"TOOL_041-M-4.5-27","tFinal",28.52,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.01,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"3a138d55-8c90-4be5-9cc2-315691367c93","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T18:58Z","2017-08-17T06:53Z","NEON.DOC.014048vJ","TOOL_043-O-7.5-31-20170816",,"TOOL_043-O-7.5-31-20170816-KCL",,"TOOL_043-O-7.5-31","tFinal",28.50,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.01,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"e3960092-ad2b-4219-8246-1c131d40fe18","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2017-07-19T19:37Z","2017-08-17T06:55Z","NEON.DOC.014048vJ","TOOL_043-O-32.5-27-20170816",,"TOOL_043-O-32.5-27-20170816-KCL",,"TOOL_043-O-32.5-27","tFinal",28.47,"2017-08-17T23:20Z","TOOL-20170817-BRef1",9.99,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"85380b12-a406-41eb-a472-ee0cd9d2fb39","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2017-07-19T20:00Z","2017-08-17T07:27Z","NEON.DOC.014048vJ","TOOL_041-O-36.5-26-20170816",,"TOOL_041-O-36.5-26-20170816-KCL",,"TOOL_041-O-36.5-26","tFinal",28.48,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.00,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"9d1254e8-aaf1-4bbd-a544-6d9f9ebc543d","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-19T20:51Z","2017-08-16T17:45Z",,"TOOL_042-O-9.5-15-20170816",,"TOOL_042-O-9.5-15-20170816-KCL",,"TOOL_042-O-9.5-15","tFinal",27.87,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.01,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"caf35e80-1ced-433a-9827-055fbc5b2fcd","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-19T21:09Z","2017-08-16T17:58Z","NEON.DOC.014048vJ","TOOL_042-M-9.5-15-20170816",,"TOOL_042-M-9.5-15-20170816-KCL",,"TOOL_042-M-9.5-15","tFinal",27.87,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.02,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"5027a0b5-2f4f-43e3-aaf9-072c045db927","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-19T21:52Z","2017-08-16T17:37Z","NEON.DOC.014048vJ","TOOL_042-O-22-9.5-20170816",,"TOOL_042-O-22-9.5-20170816-KCL",,"TOOL_042-O-22-9.5","tFinal",27.82,"2017-08-17T18:35Z","TOOL-20170817-BRef1",9.98,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"00444cce-a043-4036-b47e-1ea928886a65","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-19T22:06Z","2017-08-16T17:18Z","NEON.DOC.014048vJ","TOOL_042-M-22-9.5-20170816",,"TOOL_042-M-22-9.5-20170816-KCL",,"TOOL_042-M-22-9.5","tFinal",27.80,"2017-08-17T23:20Z","TOOL-20170817-BRef1",9.94,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"235d98c8-8282-4c5a-9baf-7a50ac83c323","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","tower","2017-07-19T22:24Z","2017-08-17T07:53Z","NEON.DOC.014048vJ","TOOL_044-O-1.5-28.5-20170816",,"TOOL_044-O-1.5-28.5-20170816-KCL",,"TOOL_044-O-1.5-28.5","tFinal",28.40,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.00,100.0,"2017-08-18T02Z","mass uncertain","Exact weight not recorded but known to be between 9.90 and 10.10 g.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"91ba576c-aef8-4c85-ac32-efb7facf4d02","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-20T00:49Z","2017-08-17T05:02Z","NEON.DOC.014048vJ","TOOL_042-O-20-33-20170816",,"TOOL_042-O-20-33-20170816-KCL",,"TOOL_042-O-20-33","tFinal",28.18,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.07,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"9cf56a01-cd97-40c8-b1ba-71bcf49a3f44","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","tower","2017-07-20T00:56Z","2017-08-16T20:01Z","NEON.DOC.014048vJ","TOOL_044-O-35-32-20170816",,"TOOL_044-O-35-32-20170816-KCL",,"TOOL_044-O-35-32","tFinal",27.80,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.05,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"a0f0cb38-c36e-45dc-913d-428bc0436aa9","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","tower","2017-07-20T01:11Z","2017-08-16T20:05Z","NEON.DOC.014048vJ","TOOL_044-M-35-32-20170816",,"TOOL_044-M-35-32-20170816-KCL",,"TOOL_044-M-35-32","tFinal",27.79,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.00,100.0,"2017-08-18T02Z","mass uncertain","Exact weight not recorded but known to be between 9.90 and 10.10 g.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"775bed60-3b00-4ec1-a8dd-44ca11ae0017","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","tower","2017-07-20T01:13Z","2017-08-17T05:13Z","NEON.DOC.014048vJ","TOOL_042-M-20-33-20170816",,"TOOL_042-M-20-33-20170816-KCL",,"TOOL_042-M-20-33","tFinal",28.17,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.02,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"00730b8e-e688-4e2e-a897-6234f1f056dc","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","tower","2017-07-20T02:14Z","2017-08-16T20:18Z","NEON.DOC.014048vJ","TOOL_044-O-35-14.5-20170816",,"TOOL_044-O-35-14.5-20170816-KCL",,"TOOL_044-O-35-14.5","tFinal",27.75,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.00,100.0,"2017-08-18T02Z","mass uncertain","Exact weight not recorded but known to be between 9.90 and 10.10 g.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"79ed6991-4441-4ff7-92f5-167d05cfa4cf","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","tower","2017-07-20T02:33Z","2017-08-16T20:17Z","NEON.DOC.014048vJ","TOOL_044-M-35-14.5-20170816",,"TOOL_044-M-35-14.5-20170816-KCL",,"TOOL_044-M-35-14.5","tFinal",27.74,"2017-08-17T23:20Z","TOOL-20170817-BRef1",10.02,100.0,"2017-08-18T02Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
"4c9698e2-d925-4f5a-8960-86cd9e38c961","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2017-07-21T18:10Z","2017-08-18T20:10Z","NEON.DOC.014048vJ","TOOL_005-O-16.5-0-20170818",,"TOOL_005-O-16.5-0-20170818-KCL",,"TOOL_005-O-16.5-0","tFinal",28.08,"2017-08-19T17:13Z","TOOL-20170819-BRef1",9.95,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"8ee7698a-5bd4-418f-bb87-54c76fc35f0e","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2017-07-21T19:13Z","2017-08-18T20:05Z","NEON.DOC.014048vJ","TOOL_005-O-31.5-6-20170818",,"TOOL_005-O-31.5-6-20170818-KCL",,"TOOL_005-O-31.5-6","tFinal",28.04,"2017-08-19T17:46Z","TOOL-20170819-BRef1",10.05,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"a9f51215-463e-4c77-b8f5-663db603b54d","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","distributed","2017-07-21T19:14Z","2017-08-18T17:42Z","NEON.DOC.014048vJ","TOOL_006-O-39-35-20170818",,"TOOL_006-O-39-35-20170818-KCL",,"TOOL_006-O-39-35","tFinal",27.94,"2017-08-19T17:08Z","TOOL-20170819-BRef1",9.97,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"7c464aef-692e-4df6-9014-aea7caf73618","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","distributed","2017-07-21T19:28Z","2017-08-18T17:45Z","NEON.DOC.014048vJ","TOOL_006-M-39-35-20170818",,"TOOL_006-M-39-35-20170818-KCL",,"TOOL_006-M-39-35","tFinal",27.93,"2017-08-19T17:36Z","TOOL-20170819-BRef1",10.07,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"9c0130de-8c3d-4c58-9751-fb822c02cebd","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","distributed","2017-07-21T19:59Z","2017-08-18T17:34Z","NEON.DOC.014048vJ","TOOL_006-O-34-17.5-20170818",,"TOOL_006-O-34-17.5-20170818-KCL",,"TOOL_006-O-34-17.5","tFinal",27.90,"2017-08-19T19:37Z","TOOL-20170819-BRef1",10.01,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"5372e491-677e-4c8c-a570-43fb84cc1c7e","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2017-07-21T20:06Z","2017-08-18T20:32Z","NEON.DOC.014048vJ","TOOL_005-M-4.5-20.5-20170818",,"TOOL_005-M-4.5-20.5-20170818-KCL",,"TOOL_005-M-4.5-20.5","tFinal",28.02,"2017-08-19T17:22Z","TOOL-20170819-BRef1",10.03,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"0f614737-099d-4370-9491-403056d9b677","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","distributed","2017-07-21T20:18Z","2017-08-18T17:38Z","NEON.DOC.014048vJ","TOOL_006-M-34-17.5-20170818",,"TOOL_006-M-34-17.5-20170818-KCL",,"TOOL_006-M-34-17.5","tFinal",27.89,"2017-08-19T19:43Z","TOOL-20170819-BRef1",10.00,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"90e84334-92fa-4054-945a-a3e4379d6b65","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","distributed","2017-07-21T21:05Z","2017-08-18T17:56Z","NEON.DOC.014048vJ","TOOL_006-O-11.5-5.5-20170818",,"TOOL_006-O-11.5-5.5-20170818-KCL",,"TOOL_006-O-11.5-5.5","tFinal",27.87,"2017-08-19T19:41Z","TOOL-20170819-BRef1",10.12,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"e44877b6-6595-45ee-a1c8-175b860dda28","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","distributed","2017-07-21T23:02Z","2017-08-18T18:41Z","NEON.DOC.014048vJ","TOOL_002-O-9.5-21.5-20170818",,"TOOL_002-O-9.5-21.5-20170818-KCL",,"TOOL_002-O-9.5-21.5","tFinal",27.82,"2017-08-19T17:05Z","TOOL-20170819-BRef1",10.04,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"998bfdd1-9d14-4bc7-a248-28bc1a268dbe","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","distributed","2017-07-21T23:05Z","2017-08-18T22:13Z","NEON.DOC.014048vJ","TOOL_001-O-7-18-20170818",,"TOOL_001-O-7-18-20170818-KCL",,"TOOL_001-O-7-18","tFinal",27.96,"2017-08-19T20:05Z","TOOL-20170819-BRef1",9.99,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"ae3d04f7-db3a-4418-b704-091bcb096cd2","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","distributed","2017-07-21T23:31Z","2017-08-18T22:18Z","NEON.DOC.014048vJ","TOOL_001-M-7-18-20170818",,"TOOL_001-M-7-18-20170818-KCL",,"TOOL_001-M-7-18","tFinal",27.95,"2017-08-19T20:56Z","TOOL-20170819-BRef1",10.03,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"00cac8cc-bee4-4495-a379-5ae95bf0ecc7","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","distributed","2017-07-21T23:52Z","2017-08-18T22:21Z","NEON.DOC.014048vJ","TOOL_001-O-6-21.5-20170818",,"TOOL_001-O-6-21.5-20170818-KCL",,"TOOL_001-O-6-21.5","tFinal",27.94,"2017-08-19T20:10Z","TOOL-20170819-BRef1",9.99,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"3f2652e3-2c47-4e73-bd55-180450792806","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","distributed","2017-07-22T00:21Z","2017-08-18T18:46Z","NEON.DOC.014048vJ","TOOL_002-O-3-6-20170818",,"TOOL_002-O-3-6-20170818-KCL",,"TOOL_002-O-3-6","tFinal",27.77,"2017-08-19T19:46Z","TOOL-20170819-BRef1",9.98,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"4a7ab0ea-2375-4e07-8e26-2df7c57c6a85","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","distributed","2017-07-22T00:29Z","2017-08-18T18:51Z","NEON.DOC.014048vJ","TOOL_002-M-3-6-20170818",,"TOOL_002-M-3-6-20170818-KCL",,"TOOL_002-M-3-6","tFinal",27.77,"2017-08-19T19:48Z","TOOL-20170819-BRef1",10.13,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"29b849a3-bdc1-410b-8957-c6d7154ed4f5","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","distributed","2017-07-22T00:29Z","2017-08-18T21:47Z","NEON.DOC.014048vJ","TOOL_001-M-24.5-0-20170818",,"TOOL_001-M-24.5-0-20170818-KCL",,"TOOL_001-M-24.5-0","tFinal",27.89,"2017-08-19T21:05Z","TOOL-20170819-BRef1",10.03,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"5d879a7c-943b-478d-a736-ef139a2b6a8e","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","distributed","2017-07-22T00:38Z","2017-08-18T21:44Z","NEON.DOC.014048vJ","TOOL_001-O-24.5-0-20170818",,"TOOL_001-O-24.5-0-20170818-KCL",,"TOOL_001-O-24.5-0","tFinal",27.88,"2017-08-19T20:53Z","TOOL-20170819-BRef1",10.06,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"d22722d8-eeba-47aa-a9b3-ab772004e5b6","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","distributed","2017-07-22T01:24Z","2017-08-18T18:54Z","NEON.DOC.014048vJ","TOOL_002-O-28-1.5-20170818",,"TOOL_002-O-28-1.5-20170818-KCL",,"TOOL_002-O-28-1.5","tFinal",27.73,"2017-08-19T17:32Z","TOOL-20170819-BRef1",9.97,100.0,"2017-08-19T23Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Kjorgenson@battelleecology.org",
"f8cbf332-7c2d-4745-9be6-dde564313c63","TOOL_003.basePlot.bgc","D18","TOOL","TOOL_003","distributed","2017-07-26T08:54Z","2017-08-21T21:54Z","NEON.DOC.014048vJ","TOOL_003-O-0-22.5-20170821",,"TOOL_003-O-0-22.5-20170821-KCL",,"TOOL_003-O-0-22.5","tFinal",26.54,"2017-08-22T17:06Z","TOOL-20170822-BRef1",10.01,100.0,"2017-08-22T19Z","OK","KCl difficult to dissolve. Significant crystals remained at bottom of large container but avoided while subsampling for extracts.","Kjorgenson@battelleecology.org","Lpetrauski@battelleecology.org",
