uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"a7c427fe-715c-45d9-a58c-13c3df3f9712","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2022-07-17T19:28Z","2022-07-17T20:38Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_005-O-41-20220717|TOOL_005-O-21-20220717|TOOL_005-O-23-20220717","TOOL_005-O-20220717-COMP","B00000127221","OK","0000-0002-2117-4697",,
"c5d2d4dc-baf2-490d-8468-48e4cd846600","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2022-07-17T20:10Z","2022-07-17T20:56Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_005-M-21-20220717|TOOL_005-M-23-20220717","TOOL_005-M-20220717-COMP","B00000127220","OK","0000-0002-2117-4697",,
"aa167615-85ad-4e8c-a395-d8cfb2433093","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2022-07-17T23:26Z","2022-07-18T00:15Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_043-M-23-20220717|TOOL_043-M-39-20220717","TOOL_043-M-20220717-COMP","B00000127208","OK","0000-0002-2117-4697",,
"08ab2143-008e-4d9f-8824-0e3312b4c211","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2022-07-17T23:26Z","2022-07-18T00:52Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_043-O-21-20220717|TOOL_043-O-23-20220717|TOOL_043-O-39-20220717","TOOL_043-O-20220717-COMP","B00000127209","OK","0000-0002-2117-4697",,
"c7d31a3f-f969-40d7-9f56-8c9b49e88836","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2022-07-18T00:15Z","2022-07-18T00:58Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_041-M-21-20220717|TOOL_041-M-41-20220717|TOOL_041-M-23-20220717","TOOL_041-M-20220717-COMP","B00000127204","OK","0000-0002-2117-4697",,
"7281a879-66dd-4912-b534-5a3b47f58ab5","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2022-07-18T00:45Z","2022-07-18T00:54Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_041-O-23-20220717|TOOL_041-O-21-20220717","TOOL_041-O-20220717-COMP","B00000127205","OK","0000-0002-2117-4697",,
"b3f9dd8f-712e-463d-b120-1deaefe99c61","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2022-07-18T01:48Z","2022-07-18T02:39Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_042-O-39-20220717|TOOL_042-O-21-20220717|TOOL_042-O-41-20220717","TOOL_042-O-20220717-COMP","B00000127207","OK",,,
"2a22a3c9-c8dd-48a1-82e7-2c9e25085c59","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2022-07-18T02:11Z","2022-07-18T02:11Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_042-M-21-20220717","TOOL_042-M-20220717-COMP","B00000127206","OK",,,
"bb4a396d-edd4-44b9-a9cf-3c1c00aac68a","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2022-07-18T02:20Z","2022-07-18T02:50Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_044-O-39-20220717|TOOL_044-O-41-20220717|TOOL_044-O-21-20220717","TOOL_044-O-20220717-COMP","B00000145683","OK","0000-0002-2117-4697",,
"077acd68-ba07-4124-adac-73cae279b160","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2022-07-18T02:20Z","2022-07-18T02:50Z","TOOL.peakGreenness.2022","NEON.DOC.014048vO","TOOL_044-M-21-20220717|TOOL_044-M-41-20220717|TOOL_044-M-39-20220717","TOOL_044-M-20220717-COMP","B00000145684","OK","0000-0002-2117-4697",,
