uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"590621cc-83c2-438e-8506-db97c1aadbe6","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2023-07-17T17:52Z","2023-07-17T18:48Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_041-O-23-20230717|TOOL_041-O-41-20230717|TOOL_041-O-21-20230717","TOOL_041-O-20230717-COMP","B00000047450","OK","0009-0007-1610-5287",,
"b18fe9b3-f99f-49ab-8936-7449135c220c","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2023-07-17T18:10Z","2023-07-17T19:29Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_043-O-41-20230717|TOOL_043-O-21-20230717|TOOL_043-O-39-20230717","TOOL_043-O-20230717-COMP","B00000047503","OK","0009-0007-1610-5287",,
"0bfc331e-7152-43f8-92f8-457388a4ce9b","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2023-07-17T19:55Z","2023-07-17T20:59Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_042-O-41-20230717|TOOL_042-O-23-20230717|TOOL_042-O-21-20230717","TOOL_042-O-20230717-COMP","B00000047445","OK","0009-0007-1610-5287",,
"fd5a1ddc-24c5-4757-8fef-f4ced5d381a2","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2023-07-17T21:26Z","2023-07-17T22:33Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_044-O-39-20230717|TOOL_044-O-21-20230717|TOOL_044-O-41-20230717","TOOL_044-O-20230717-COMP","B00000047533","OK","0009-0007-1610-5287",,
"3f0b650b-7fce-4939-9f6a-e28676af47be","D18","TOOL","TOOL_003","TOOL_003.basePlot.bgc","2023-07-18T17:35Z","2023-07-18T18:26Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_003-O-39-20230718|TOOL_003-O-41-20230718|TOOL_003-O-23-20230718","TOOL_003-O-20230718-COMP","B00000047482","OK","0009-0007-1610-5287",,
"c26f579a-b30d-4f78-9aee-03954224e6f4","D18","TOOL","TOOL_004","TOOL_004.basePlot.bgc","2023-07-18T22:43Z","2023-07-18T23:41Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_004-O-23-20230718|TOOL_004-O-39-20230718|TOOL_004-O-41-20230718","TOOL_004-O-20230718-COMP","B00000047492","OK","0009-0007-1610-5287",,
"050bb5cd-605b-40e7-8a8f-fe2a53993465","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2023-07-19T17:27Z","2023-07-19T18:27Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_005-O-23-20230719|TOOL_005-O-21-20230719|TOOL_005-O-39-20230719","TOOL_005-O-20230719-COMP","B00000047476","OK","0009-0007-1610-5287",,
"507331e6-bf3a-4b45-80a4-f96a82701abc","D18","TOOL","TOOL_001","TOOL_001.basePlot.bgc","2023-07-19T22:52Z","2023-07-19T23:59Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_001-O-23-20230719|TOOL_001-O-39-20230719|TOOL_001-O-41-20230719","TOOL_001-O-20230719-COMP","B00000047455","OK","0009-0002-9286-7877",,
"6d982eb9-1316-45af-b7e8-5870d721401d","D18","TOOL","TOOL_002","TOOL_002.basePlot.bgc","2023-07-20T17:47Z","2023-07-20T18:40Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_002-O-21-20230720|TOOL_002-O-41-20230720|TOOL_002-O-39-20230720","TOOL_002-O-20230720-COMP","B00000047456","OK","0009-0007-1610-5287",,
"0d3d1535-1fa3-4e11-9c97-343128ea4a4b","D18","TOOL","TOOL_006","TOOL_006.basePlot.bgc","2023-07-20T18:22Z","2023-07-20T19:15Z","TOOL.peakGreenness.2023","NEON.DOC.014048vO","TOOL_006-O-41-20230720|TOOL_006-O-39-20230720|TOOL_006-O-23-20230720","TOOL_006-O-20230720-COMP","B00000047454","OK","0009-0007-1610-5287",,
