uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"1789fb15-5af6-4440-953c-11bf7d1efba8","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2023-07-17T17:52Z","2023-07-17T17:52Z","TOOL_041-O-21-20230717","A00000427780","TOOL_041-O-21-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:19Z",2.370,7.360,3.560,3.193,0.238,"used frozen soil",,"0009-0004-5090-1218",
"fffc0224-0920-4269-9629-dc9324ed1514","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2023-07-17T18:10Z","2023-07-17T18:10Z","TOOL_043-O-41-20230717","A00000427788","TOOL_043-O-41-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:21Z",2.320,7.180,3.020,5.943,0.144,"used frozen soil",,"0009-0007-1610-5287",
"e5cf0a09-15da-42d2-8d41-3c3de3938500","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2023-07-17T18:19Z","2023-07-17T18:19Z","TOOL_041-O-23-20230717","A00000427781","TOOL_041-O-23-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:18Z",2.350,7.220,3.560,3.025,0.248,"used frozen soil",,"0009-0007-1610-5287",
"3b348725-9d49-4321-ae83-c1831f1db025","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2023-07-17T18:48Z","2023-07-17T18:48Z","TOOL_041-O-41-20230717","A00000427782","TOOL_041-O-41-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:22Z",2.220,7.390,3.020,5.463,0.155,"used frozen soil",,"0009-0007-1610-5287",
"167074cc-032c-4772-8ef9-1fe6f0acf9fb","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2023-07-17T18:51Z","2023-07-17T18:51Z","TOOL_043-O-39-20230717","A00000427787","TOOL_043-O-39-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:19Z",2.270,7.000,3.050,5.064,0.165,"used frozen soil",,"0009-0009-3511-3746",
"537338b0-d2fe-4456-95e8-2dc4feff18e9","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2023-07-17T19:29Z","2023-07-17T19:29Z","TOOL_043-O-21-20230717","A00000427786","TOOL_043-O-21-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:19Z",2.230,7.360,2.810,7.845,0.113,"used frozen soil",,"0009-0009-3511-3746",
"e8a48e98-a9b9-473c-8164-9e97884b9da4","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2023-07-17T19:55Z","2023-07-17T19:55Z","TOOL_042-O-21-20230717","A00000427783","TOOL_042-O-21-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:16Z",2.300,7.140,2.810,8.490,0.105,"used frozen soil",,"0009-0004-5090-1218",
"ee58e6c0-469b-4a37-b612-7ca4b96cc159","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2023-07-17T20:33Z","2023-07-17T20:33Z","TOOL_042-O-23-20230717","A00000427784","TOOL_042-O-23-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:21Z",2.310,7.410,2.690,12.421,0.075,"used frozen soil",,"0009-0009-3511-3746",
"038a55b7-a944-4c6e-aad3-5bf6bc098c94","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2023-07-17T20:59Z","2023-07-17T20:59Z","TOOL_042-O-41-20230717","A00000427785","TOOL_042-O-41-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:19Z",2.460,7.410,2.900,10.250,0.089,"used frozen soil",,"0009-0004-5090-1218",
"cca75b24-64a3-4a09-bc1b-811826227d25","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2023-07-17T21:26Z","2023-07-17T21:26Z","TOOL_044-O-21-20230717","A00000427789","TOOL_044-O-21-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:22Z",2.310,6.980,2.960,6.185,0.139,"used frozen soil",,"0009-0009-3511-3746",
"f801b97c-0b87-493f-8a8e-2c4b3142bc3a","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2023-07-17T22:01Z","2023-07-17T22:01Z","TOOL_044-O-39-20230717","A00000427790","TOOL_044-O-39-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:23Z",2.300,7.140,2.980,6.118,0.140,"used frozen soil",,"0009-0007-1610-5287",
"021fe40c-0ada-4301-96a8-6aeef61e98fa","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2023-07-17T22:33Z","2023-07-17T22:33Z","TOOL_044-O-41-20230717","A00000427791","TOOL_044-O-41-20230717-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:21Z",2.300,7.130,3.420,3.313,0.232,"used frozen soil",,"0009-0007-1610-5287",
"b48078ed-ebd5-4fdd-8258-6dece588aa4f","D18","TOOL","TOOL_003","TOOL_003.basePlot.bgc","2023-07-18T17:35Z","2023-07-18T17:35Z","TOOL_003-O-23-20230718","A00000427768","TOOL_003-O-23-20230718-SM","NEON.DOC.014048vO","O","2023-07-24T18:00Z","2023-07-27T23:23Z",2.270,7.770,3.460,3.622,0.216,"used frozen soil",,"0009-0009-3511-3746",
