uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"2b82412b-f924-46ef-b644-79656275de71","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T18:43Z","2019-08-26T18:43Z","2019-09-25","BONA_071-M-6.5-19-20190826","A00000100811","BONA_071-M-6.5-19-20190826-PH","NEON.DOC.014048vL","M",4.88,3.99,10.1,20.0,2.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"f89bfaf4-deae-4ba1-aac3-b84fefddd0da","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T18:43Z","2019-08-26T18:43Z","2019-09-24","BONA_071-O-6.5-19-20190826","A00000103276","BONA_071-O-6.5-19-20190826-PH","NEON.DOC.014048vL","O",4.20,3.47,3.0,40.0,13.2,3.1,40.0,13.1,,"0000-0002-2117-4697",
"07698406-eb8a-4dc4-b8a1-5b19018d83ab","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T19:34Z","2019-08-26T19:34Z","2019-09-25","BONA_071-M-37-8.5-20190826","A00000100810","BONA_071-M-37-8.5-20190826-PH","NEON.DOC.014048vL","M",5.15,4.29,10.0,80.0,8.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"5822326d-9b46-4934-9ed3-86678ccc54b0","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T19:34Z","2019-08-26T19:34Z","2019-09-24","BONA_071-O-37-8.5-20190826","A00000103277","BONA_071-O-37-8.5-20190826-PH","NEON.DOC.014048vL","O",4.46,3.75,3.1,40.0,13.1,3.1,60.0,19.7,,"0000-0002-2117-4697",
"dca54119-e7bb-422a-ae93-25ba5e9fdcbf","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T20:22Z","2019-08-26T20:22Z","2019-09-25","BONA_071-M-39-31.5-20190826","A00000100809","BONA_071-M-39-31.5-20190826-PH","NEON.DOC.014048vL","M",4.99,4.21,10.1,20.0,2.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"49133a3f-0dd6-4ab6-8c0d-60d565853afc","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T20:22Z","2019-08-26T20:22Z","2019-09-24","BONA_071-O-39-31.5-20190826","A00000103278","BONA_071-O-39-31.5-20190826-PH","NEON.DOC.014048vL","O",4.18,3.19,3.0,40.0,13.3,3.0,40.0,13.3,,"0000-0002-2117-4697",
"64dc4d01-77f2-4447-a400-47939533e7b4","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2019-08-26T22:20Z","2019-08-26T22:20Z","2019-09-25","BONA_070-M-26-8.5-20190826","A00000100808","BONA_070-M-26-8.5-20190826-PH","NEON.DOC.014048vL","M",4.89,4.32,10.1,20.0,2.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"47cc6e16-6351-4939-b770-c86f5d5b6ceb","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2019-08-26T22:20Z","2019-08-26T22:20Z","2019-09-24","BONA_070-O-26-8.5-20190826","A00000103265","BONA_070-O-26-8.5-20190826-PH","NEON.DOC.014048vL","O",4.41,3.49,3.0,40.0,13.3,3.0,40.0,13.2,,"0000-0002-2117-4697",
"5f4958e0-fd2d-4ffc-b2f1-6f6eff0ba6ba","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2019-08-26T22:21Z","2019-08-26T22:21Z","2019-09-24","BONA_080-O-5-9-20190826","A00000103279","BONA_080-O-5-9-20190826-PH","NEON.DOC.014048vL","O",4.38,3.43,5.0,40.0,8.0,5.1,40.0,7.9,,"0000-0002-2117-4697",
"736fff49-d53b-4229-bd08-335d163afc86","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2019-08-26T22:23Z","2019-08-26T22:23Z","2019-09-25","BONA_080-M-5-9-20190826","A00000100812","BONA_080-M-5-9-20190826-PH","NEON.DOC.014048vL","M",4.82,4.03,10.1,20.0,2.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
"4276d768-6cb4-4e10-8918-9bb15b653dd9","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2019-08-26T23:09Z","2019-08-26T23:09Z","2019-09-25","BONA_080-M-8.5-24-20190826","A00000100813","BONA_080-M-8.5-24-20190826-PH","NEON.DOC.014048vL","M",5.08,4.32,10.0,20.0,2.0,10.0,20.0,2.0,,"0000-0002-2117-4697",
