uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"5e621990-aab0-482b-9d97-2a787e181649","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T18:43Z","2019-09-16T19:14Z","BONA_071-M-6.5-19-20190916","A00000101139","BONA_071-M-6.5-19-20190916-KCL","B00000046936","ok","2019-10-28",0.006,2,"below method detection limit",,"2019-10-28",0.083,2,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"e3fe39cf-661b-404f-a8c1-73321ed293a9","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T18:43Z","2019-09-16T19:14Z","BONA_071-O-6.5-19-20190916","A00000101021","BONA_071-O-6.5-19-20190916-KCL","B00000046937","ok","2019-10-28",0.075,1,"OK",,"2019-10-28",0.075,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"9d5456d1-7a3d-4667-b645-5ec3ca5a306b","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T18:43Z","2019-09-16T19:14Z","BONA_071-M-6.5-19-20190916","A00000101139","BONA_071-M-6.5-19-20190916-KCL","B00000046936","ok","2019-10-28",0.005,1,"below method detection limit",,"2019-10-28",0.091,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"49f364bb-5981-40b6-9a63-d5b0f51642b5","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T19:34Z","2019-09-16T19:00Z","BONA_071-O-37-8.5-20190916","A00000101140","BONA_071-O-37-8.5-20190916-KCL","B00000046939","ok","2019-10-28",0.018,1,"OK",,"2019-10-28",0.087,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"d1fe9f02-48ae-41cf-b357-5356e6cf2677","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T19:34Z","2019-09-16T19:00Z","BONA_071-M-37-8.5-20190916","A00000101020","BONA_071-M-37-8.5-20190916-KCL","B00000046938","ok","2019-10-28",0.027,1,"OK",,"2019-10-28",0.077,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"68f9fa95-1144-4271-a3a7-416516d1c95d","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T20:22Z","2019-09-16T18:45Z","BONA_071-O-39-31.5-20190916","A00000101013","BONA_071-O-39-31.5-20190916-KCL","B00000046941","ok","2019-10-28",0.053,1,"OK",,"2019-10-28",0.071,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"99f5eeb6-074e-471f-8dd9-4c7125a46ba2","BONA_071.basePlot.bgc","D19","BONA","BONA_071","2019-08-26T20:22Z","2019-09-16T18:45Z","BONA_071-M-39-31.5-20190916","A00000101138","BONA_071-M-39-31.5-20190916-KCL","B00000046940","ok","2019-10-28",0.000,1,"below method detection limit",,"2019-10-28",0.057,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"803ea257-af6f-4321-bd1b-56e87e14f160","BONA_070.basePlot.bgc","D19","BONA","BONA_070","2019-08-26T22:20Z","2019-09-16T19:16Z","BONA_070-O-26-8.5-20190916","A00000101017","BONA_070-O-26-8.5-20190916-KCL","B00000046947","ok","2019-10-28",0.029,1,"OK",,"2019-10-28",0.057,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"4d2a1040-d558-46f7-a659-ea78b9aed7c4","BONA_070.basePlot.bgc","D19","BONA","BONA_070","2019-08-26T22:20Z","2019-09-16T19:17Z","BONA_070-M-26-8.5-20190916","A00000101015","BONA_070-M-26-8.5-20190916-KCL","B00000046946","ok","2019-10-28",0.028,1,"OK",,"2019-10-28",0.085,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"0fa9fdbf-8e46-469f-8442-e8323a4eb17d","BONA_070.basePlot.bgc","D19","BONA","BONA_070","2019-08-26T22:20Z","2019-09-16T19:17Z","BONA_070-M-26-8.5-20190916","A00000101015","BONA_070-M-26-8.5-20190916-KCL","B00000046946","ok","2019-10-28",0.007,2,"below method detection limit",,"2019-10-28",0.054,2,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
