uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"011bfac0-a4d8-497e-ae96-f7d011b8c522","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2021-07-06T19:10Z","2021-07-06T19:44Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_070-O-33-3.5-20210706|BONA_070-O-3.5-16.5-20210706|BONA_070-O-33.5-26.5-20210706","BONA_070-O-20210706-COMP","B00000127544","OK","0000-0002-2117-4697",,
"9dd80168-bcde-4e60-8924-8b011c02a564","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2021-07-06T20:14Z","2021-07-06T20:43Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_071-O-4.5-10.5-20210706|BONA_071-O-37.5-38.5-20210706|BONA_071-O-23.5-0-20210706","BONA_071-O-20210706-COMP","B00000127796","OK","0000-0002-2117-4697",,
"ad8b673a-205a-44ec-8a91-df0a1510c8c7","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2021-07-06T21:25Z","2021-07-06T21:54Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_080-O-21-34.5-20210706|BONA_080-O-8.5-16-20210706|BONA_080-O-3.5-31.5-20210706","BONA_080-O-20210706-COMP","B00000127545","OK","0000-0002-2117-4697",,
"5b63a27e-35c5-4802-b7d0-6c134cf0525d","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2021-07-06T22:14Z","2021-07-06T22:50Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_084-O-3-33.5-20210706|BONA_084-O-39.5-23.5-20210706|BONA_084-O-39.5-14-20210706","BONA_084-O-20210706-COMP","B00000127546","OK","0000-0002-2117-4697",,
"01130d73-507f-42fc-b0c6-ee14ed2cfdfd","D19","BONA","BONA_009","BONA_009.basePlot.bgc","2021-07-07T19:44Z","2021-07-07T20:46Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_009-O-16-2-20210707|BONA_009-O-39.5-23.5-20210707|BONA_009-O-13-37.5-20210707","BONA_009-O-20210707-COMP","B00000127542","OK","0000-0002-2117-4697",,
"2ddc2c97-c2fa-4227-912d-3afa4928e1b4","D19","BONA","BONA_013","BONA_013.basePlot.bgc","2021-07-07T19:45Z","2021-07-07T20:37Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_013-O-38-21-20210707|BONA_013-O-29-8.5-20210707|BONA_013-O-12.5-34.5-20210707","BONA_013-O-20210707-COMP","B00000127543","OK","0000-0002-2117-4697",,
"8bd31d0a-546a-43f6-92c4-96a715b53553","D19","BONA","BONA_004","BONA_004.basePlot.bgc","2021-07-07T22:08Z","2021-07-07T22:49Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_004-O-31-21-20210707|BONA_004-O-12-37-20210707|BONA_004-O-0.5-1.5-20210707","BONA_004-O-20210707-COMP","B00000127535","OK","0000-0002-2117-4697",,
"eb9473c3-026b-44fe-a540-f34c5346d2a0","D19","BONA","BONA_006","BONA_006.basePlot.bgc","2021-07-07T22:14Z","2021-07-07T22:58Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_006-O-5-28-20210707|BONA_006-O-11.5-0.5-20210707|BONA_006-O-30.5-8.5-20210707","BONA_006-O-20210707-COMP","B00000127541","OK","0000-0002-2117-4697",,
"f826f7b4-b07d-41a9-8d84-7cbfc0f16420","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2021-07-08T18:53Z","2021-07-08T19:30Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_001-O-11.5-35.5-20210708|BONA_001-O-33-33-20210708|BONA_001-O-35-3-20210708","BONA_001-O-20210708-COMP","B00000127528","OK","0000-0002-2117-4697",,
"6a603656-20d0-488c-9421-34fbf248a76d","D19","BONA","BONA_002","BONA_002.basePlot.bgc","2021-07-08T21:08Z","2021-07-08T21:30Z","BONA.peakGreenness.2021","NEON.DOC.014048vN","BONA_002-O-31.5-28-20210708|BONA_002-O-0-38.5-20210708|BONA_002-O-7-2.5-20210708","BONA_002-O-20210708-COMP","B00000127534","OK","0000-0002-2117-4697",,
