uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"0cafa80a-5f0a-4279-b7b3-368844d351f9","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2017-06-19T21:25Z","2017-06-19T23:20Z",,"NEON.DOC.014048vF","DEJU_001-O-7-8.5-20170619|DEJU_001-O-35.5-7-20170619|DEJU_001-O-30-29.5-20170619","DEJU_001-O-20170619-COMP",,"OK","sfrost@battelleecology.org",,
"b91e616f-b953-406f-85b5-5d0fa9e367f6","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2017-06-20T18:09Z","2017-06-20T19:14Z",,"NEON.DOC.014048vF","DEJU_006-O-33-0-20170620|DEJU_006-O-4-20.5-20170620|DEJU_006-O-38.5-23.5-20170620","DEJU_006-O-20170620-COMP",,"OK","kjorgenson@field-ops.org",,
"9188b4f6-c0e7-436f-be2a-73ae8378656a","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2017-06-20T18:39Z","2017-06-20T20:03Z",,"NEON.DOC.014048vF","DEJU_014-O-0-10.5-20170620|DEJU_014-O-16.5-4.5-20170620|DEJU_014-O-13-3.5-20170620","DEJU_014-O-20170620-COMP",,"OK","sfrost@battelleecology.org",,
"0d610f7d-ab38-495a-ace5-1bfd3b5e0248","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2017-06-20T22:01Z","2017-06-20T22:52Z",,"NEON.DOC.014048vF","DEJU_015-O-39-10-20170620|DEJU_015-O-6-22-20170620|DEJU_015-O-2.5-2-20170620","DEJU_015-O-20170620-COMP",,"OK","sfrost@battelleecology.org",,
"c2f6e11c-5d11-4578-abf7-8627f84eaf81","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2017-06-20T22:12Z","2017-06-20T23:48Z",,"NEON.DOC.014048vF","DEJU_002-O-33-1-20170620|DEJU_002-O-14-33.5-20170620|DEJU_002-O-0.5-1-20170620","DEJU_002-O-20170620-COMP",,"OK","jormerod@battelleecology.org",,
"b9dc67a6-2cd6-4473-a970-3a943d078d9a","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2017-06-21T17:36Z","2017-06-21T18:42Z",,"NEON.DOC.014048vF","DEJU_047-O-39-34-20170621|DEJU_047-O-34-14.5-20170621|DEJU_047-O-6-11.5-20170621","DEJU_047-O-20170621-COMP",,"OK","sfrost@battelleecology.org",,
"9a550af3-15ee-460f-a84b-8a541f83e6b3","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2017-06-21T17:55Z","2017-06-22T07:28Z",,"NEON.DOC.014048vF","DEJU_048-O-11-32-20170621|DEJU_048-O-32-11-20170621|DEJU_048-O-0.5-6.5-20170621","DEJU_048-O-20170621-COMP",,"OK","kjorgenson@battelleecology.org",,
"0d2e6594-a132-4289-801e-fa903797d560","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2017-06-21T19:24Z","2017-06-21T20:51Z",,"NEON.DOC.014048vF","DEJU_045-O-31-26-20170621|DEJU_045-O-30.5-14.5-20170621|DEJU_045-O-2.5-3-20170621","DEJU_045-O-20170621-COMP",,"OK","sfrost@battelleecology.org",,
"abdd3e98-d0bf-4c4a-8db4-f35fda66a616","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2017-06-21T20:40Z","2017-06-21T21:49Z",,"NEON.DOC.014048vF","DEJU_046-O-4.5-8-20170621|DEJU_046-O-39-38.5-20170621|DEJU_046-O-27.5-2.5-20170621","DEJU_046-O-20170621-COMP",,"OK","kjorgenson@battelleecology.org",,
"51f40c8c-acac-4ff2-b36a-ff47accf1834","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2017-06-21T23:37Z","2017-06-22T00:14Z",,"NEON.DOC.014048vF","DEJU_009-O-32-18.5-20170621|DEJU_009-O-33-20.5-20170621|DEJU_009-O-6-18-20170621","DEJU_009-O-20170621-COMP",,"OK","kjorgenson@field-ops.org",,
