uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"cd1f9fd3-458a-4cdd-9f5b-cc4c030fcfc7","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2017-06-19T21:25Z","2017-06-19T21:25Z","2017-08-01","DEJU_001-O-7-8.5-20170619",,"DEJU_001-O-7-8.5-20170619-PH","NEON.DOC.014048vJ","O",4.96,4.21,5.0,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"06859750-7a03-4c23-8993-86a976ce1ddc","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2017-06-19T22:26Z","2017-06-19T22:26Z","2017-08-01","DEJU_001-O-35.5-7-20170619",,"DEJU_001-O-35.5-7-20170619-PH","NEON.DOC.014048vJ","O",4.85,4.18,5.1,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"158ff806-2712-4b29-af6e-fbecec2dd60d","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2017-06-19T23:20Z","2017-06-19T23:20Z","2017-08-01","DEJU_001-O-30-29.5-20170619",,"DEJU_001-O-30-29.5-20170619-PH","NEON.DOC.014048vJ","O",5.54,3.98,5.0,40.0,8.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"e6d064a8-703a-4300-8515-b61a0a1346d1","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2017-06-20T18:09Z","2017-06-20T18:09Z","2017-08-01","DEJU_006-O-33-0-20170620",,"DEJU_006-O-33-0-20170620-PH","NEON.DOC.014048vJ","O",3.23,4.09,5.0,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"7420410d-ac4a-483e-9959-fc295b4d8bd1","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2017-06-20T18:39Z","2017-06-20T18:39Z","2017-07-31","DEJU_014-O-13-3.5-20170620",,"DEJU_014-O-13-3.5-20170620-PH","NEON.DOC.014048vJ","O",6.13,4.43,5.1,20.0,4.0,5.1,20.0,4.0,,"ainterrante@battelleecology.org",
"a6833688-00b7-4c96-aeab-29c97a7118a5","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2017-06-20T18:48Z","2017-06-20T18:48Z","2017-08-01","DEJU_006-O-4-20.5-20170620",,"DEJU_006-O-4-20.5-20170620-PH","NEON.DOC.014048vJ","O",3.54,4.50,5.0,40.0,8.1,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"7ad87d21-bbbc-48a6-aa0c-e80cd4a745f4","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2017-06-20T19:14Z","2017-06-20T19:14Z","2017-08-01","DEJU_006-O-38.5-23.5-20170620",,"DEJU_006-O-38.5-23.5-20170620-PH","NEON.DOC.014048vJ","O",3.44,3.69,5.1,40.0,7.9,5.1,60.0,11.9,,"ainterrante@battelleecology.org",
"fe626c30-5ccb-4696-aeac-0ea38cc2d9de","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2017-06-20T19:20Z","2017-06-20T19:20Z","2017-07-31","DEJU_014-O-16.5-4.5-20170620",,"DEJU_014-O-16.5-4.5-20170620-PH","NEON.DOC.014048vJ","O",5.60,4.41,5.1,20.0,3.9,5.0,40.0,7.9,,"ainterrante@battelleecology.org",
"3b3aa83b-4019-426b-88a0-da33f7ca96f3","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2017-06-20T20:03Z","2017-06-20T20:03Z","2017-08-01","DEJU_014-O-0-10.5-20170620",,"DEJU_014-O-0-10.5-20170620-PH","NEON.DOC.014048vJ","O",6.30,5.54,5.1,40.0,7.9,5.0,40.0,8.0,,"ainterrante@battelleecology.org",
"c1e6065d-d16f-4b9a-8043-3dce0cc1037d","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2017-06-20T22:01Z","2017-06-20T22:01Z","2017-08-02","DEJU_015-O-39-10-20170620",,"DEJU_015-O-39-10-20170620-PH","NEON.DOC.014048vJ","O",4.69,3.63,5.1,80.0,15.8,5.1,80.0,15.8,,"ainterrante@battelleecology.org",
"87cade4c-d26e-44da-9515-b1f8482cf35d","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2017-06-20T22:12Z","2017-06-20T22:12Z","2017-07-31","DEJU_002-O-0.5-1-20170620",,"DEJU_002-O-0.5-1-20170620-PH","NEON.DOC.014048vJ","O",6.46,4.61,5.0,20.0,4.0,5.1,20.0,3.9,,"ainterrante@battelleecology.org",
"d8cfaed8-3710-4f4a-bc19-0df90d1f121b","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2017-06-20T22:29Z","2017-06-20T22:29Z","2017-08-01","DEJU_015-O-2.5-2-20170620",,"DEJU_015-O-2.5-2-20170620-PH","NEON.DOC.014048vJ","O",4.74,3.89,5.0,20.0,4.0,5.1,40.0,7.9,,"ainterrante@battelleecology.org",
"d57ed2ca-4805-494c-a114-0f822ba17423","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2017-06-20T22:52Z","2017-06-20T22:52Z","2017-08-01","DEJU_015-O-6-22-20170620",,"DEJU_015-O-6-22-20170620-PH","NEON.DOC.014048vJ","O",5.15,3.84,5.0,100.0,19.9,5.1,100.0,19.8,,"ainterrante@battelleecology.org",
"b3d4ad57-a2c9-46c9-b4d7-579124796168","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2017-06-20T22:58Z","2017-06-20T22:58Z","2017-07-31","DEJU_002-O-33-1-20170620",,"DEJU_002-O-33-1-20170620-PH","NEON.DOC.014048vJ","O",5.75,4.22,5.1,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"d0ce0334-3475-4ec7-8eba-c14d84738c9f","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2017-06-20T23:48Z","2017-06-20T23:48Z","2017-08-01","DEJU_002-O-14-33.5-20170620",,"DEJU_002-O-14-33.5-20170620-PH","NEON.DOC.014048vJ","O",5.45,4.00,5.1,20.0,3.9,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"50f4c969-fdf2-407b-bb11-6dc7b210435e","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2017-06-21T17:36Z","2017-06-21T17:36Z","2017-07-31","DEJU_047-O-39-34-20170621",,"DEJU_047-O-39-34-20170621-PH","NEON.DOC.014048vJ","O",5.65,3.89,5.0,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"15c30e1b-3cb7-49d4-aa99-48954b25ba15","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2017-06-21T17:55Z","2017-06-21T17:55Z","2017-08-01","DEJU_048-O-0.5-6.5-20170621",,"DEJU_048-O-0.5-6.5-20170621-PH","NEON.DOC.014048vJ","O",4.08,3.50,5.1,20.0,4.0,5.0,40.0,7.9,,"ainterrante@battelleecology.org",
"fe0f2942-2dab-45ef-9a3e-d815364f6fac","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2017-06-21T18:07Z","2017-06-21T18:07Z","2017-08-01","DEJU_047-O-34-14.5-20170621",,"DEJU_047-O-34-14.5-20170621-PH","NEON.DOC.014048vJ","O",5.23,4.13,5.0,40.0,7.9,5.0,40.0,7.9,,"ainterrante@battelleecology.org",
"f4855846-5d77-4eb1-a53f-113765b46448","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2017-06-21T18:42Z","2017-06-21T18:42Z","2017-07-31","DEJU_047-O-6-11.5-20170621",,"DEJU_047-O-6-11.5-20170621-PH","NEON.DOC.014048vJ","O",5.72,4.08,5.1,40.0,7.9,5.1,40.0,7.9,,"ainterrante@battelleecology.org",
"61236e20-bbcb-44b7-87fe-af3c2a5ba307","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2017-06-21T19:24Z","2017-06-21T19:24Z","2017-08-01","DEJU_045-O-31-26-20170621",,"DEJU_045-O-31-26-20170621-PH","NEON.DOC.014048vJ","O",5.46,4.84,5.0,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"8cb58ff6-2c1b-4d0d-8ab4-a77600d7b53d","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2017-06-21T20:01Z","2017-06-21T20:01Z","2017-08-01","DEJU_045-O-30.5-14.5-20170621",,"DEJU_045-O-30.5-14.5-20170621-PH","NEON.DOC.014048vJ","O",4.92,4.06,5.0,20.0,4.0,5.0,20.0,4.0,,"ainterrante@battelleecology.org",
"e4c66575-ca9a-4559-ad68-67ed171e14c6","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2017-06-21T20:40Z","2017-06-21T20:40Z","2017-08-01","DEJU_046-O-27.5-2.5-20170621",,"DEJU_046-O-27.5-2.5-20170621-PH","NEON.DOC.014048vJ","O",5.43,3.61,5.1,40.0,7.9,5.1,40.0,7.9,,"ainterrante@battelleecology.org",
"05738d68-911c-4d23-9e2a-60c538362df0","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2017-06-21T20:51Z","2017-06-21T20:51Z","2017-08-01","DEJU_045-O-2.5-3-20170621",,"DEJU_045-O-2.5-3-20170621-PH","NEON.DOC.014048vJ","O",4.79,4.16,5.0,40.0,8.0,5.0,40.0,8.0,,"ainterrante@battelleecology.org",
"615eac8c-3ec7-456a-b538-9ff95f203a21","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2017-06-21T21:13Z","2017-06-21T21:13Z","2017-08-01","DEJU_046-O-4.5-8-20170621",,"DEJU_046-O-4.5-8-20170621-PH","NEON.DOC.014048vJ","O",4.67,4.04,5.0,20.0,4.0,5.0,40.0,8.0,,"ainterrante@battelleecology.org",
"df4af475-b2d4-4d39-b1c6-9eeb58a2dcc4","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2017-06-21T21:49Z","2017-06-21T21:49Z","2017-08-01","DEJU_046-O-39-38.5-20170621",,"DEJU_046-O-39-38.5-20170621-PH","NEON.DOC.014048vJ","O",4.89,4.14,5.1,20.0,4.0,5.1,40.0,7.9,,"ainterrante@battelleecology.org",
"9b43614d-b390-4b95-9e0d-53cf0b049f3c","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2017-06-21T23:37Z","2017-06-21T23:37Z","2017-08-01","DEJU_009-O-6-18-20170621",,"DEJU_009-O-6-18-20170621-PH","NEON.DOC.014048vJ","O",4.45,3.71,5.0,20.0,4.0,5.1,20.0,3.9,,"ainterrante@battelleecology.org",
"7e401ab2-57ed-4f88-949c-922deaefc1f8","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2017-06-21T23:42Z","2017-06-21T23:42Z","2017-08-01","DEJU_009-O-32-18.5-20170621",,"DEJU_009-O-32-18.5-20170621-PH","NEON.DOC.014048vJ","O",4.06,3.37,5.0,20.0,4.0,5.0,40.0,8.0,,"ainterrante@battelleecology.org",
"ac80ccf1-c440-4c6e-8ce2-b4c9345e1643","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2017-06-22T00:14Z","2017-06-22T00:14Z","2017-08-01","DEJU_009-O-33-20.5-20170621",,"DEJU_009-O-33-20.5-20170621-PH","NEON.DOC.014048vJ","O",5.79,4.25,5.0,40.0,8.0,5.1,40.0,7.9,,"ainterrante@battelleecology.org",
"33a8ee61-7e0f-42aa-8cb5-41d56538d45a","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2017-06-22T06:53Z","2017-06-22T06:53Z","2017-07-31","DEJU_048-O-32-11-20170621",,"DEJU_048-O-32-11-20170621-PH","NEON.DOC.014048vJ","O",5.54,5.26,5.0,20.0,4.0,5.1,20.0,4.0,,"ainterrante@battelleecology.org",
"70f83ae2-d1c5-4af0-99ab-4f8b3d60c436","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2017-06-22T07:28Z","2017-06-22T07:28Z","2017-08-01","DEJU_048-O-11-32-20170621",,"DEJU_048-O-11-32-20170621-PH","NEON.DOC.014048vJ","O",4.49,3.43,5.0,20.0,4.0,5.0,40.0,8.0,,"ainterrante@battelleecology.org",
