uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"b555976d-32af-4284-906b-568e782ba8f1","2018-11-27","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T15:42Z","2018-06-18T15:42Z","DEJU_006-O-25-32.5-20180618","A00000028561","DEJU_006-O-25-32.5-20180618-CN","A00000028349","soil","N",,0.5,-26.1,0.45,13.75,30.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"94f771c6-3dd5-471a-ad18-83cdb4e0c825","2018-12-05","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T15:59Z","2018-06-18T15:59Z","DEJU_006-M-25-32.5-20180618","A00000028562","DEJU_006-M-25-32.5-20180618-CN","A00000028353","soil","N",,5.0,-25.1,0.09,1.69,19.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"177fb203-a8ef-4ad8-8e82-ec5865a5c7d8","2018-11-26","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T16:43Z","2018-06-18T16:43Z","DEJU_006-O-2.5-37.5-20180618","A00000028557","DEJU_006-O-2.5-37.5-20180618-CN","A00000028357","soil","N",,-0.1,-25.2,0.73,15.03,20.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8282ae54-c557-4931-9139-ec4f6bd46415","2018-11-27","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T16:55Z","2018-06-18T16:55Z","DEJU_006-M-2.5-37.5-20180618","A00000028558","DEJU_006-M-2.5-37.5-20180618-CN","A00000028350","soil","N",,3.5,-25.0,0.14,2.47,18.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"4c4aae96-c60d-4400-8618-1db3ac203684","2018-11-27","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T17:22Z","2018-06-18T17:22Z","DEJU_006-O-39.5-1.5-20180618","A00000028559","DEJU_006-O-39.5-1.5-20180618-CN","A00000028358","soil","N",,0.2,-26.2,1.10,38.24,34.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1e80a80f-bc39-43da-8a66-8b208ddd94ce","2018-11-27","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","distributed","2018-06-18T17:35Z","2018-06-18T17:35Z","DEJU_006-M-39.5-1.5-20180618","A00000028560","DEJU_006-M-39.5-1.5-20180618-CN","A00000028354","soil","N",,3.2,-25.4,0.48,11.03,22.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"6ecc2936-0a8a-4525-aef6-65cf82182b49","2018-11-27","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","distributed","2018-06-18T19:04Z","2018-06-18T19:04Z","DEJU_014-O-14-9-20180618","A00000028579","DEJU_014-O-14-9-20180618-CN","A00000028360","soil","N",,1.1,-27.7,1.31,39.91,30.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"91557622-c321-44da-9b8e-70763e27f12c","2018-11-27","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","distributed","2018-06-18T19:05Z","2018-06-18T19:05Z","DEJU_014-M-14-9-20180618","A00000028580","DEJU_014-M-14-9-20180618-CN","A00000028356","soil","N",,5.4,-26.4,0.15,3.11,20.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2934fc80-1523-4341-99bd-8dbeab98f312","2018-11-26","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","distributed","2018-06-18T19:32Z","2018-06-18T19:32Z","DEJU_014-O-21-9.5-20180618","A00000028584","DEJU_014-O-21-9.5-20180618-CN","A00000028351","soil","N",,2.9,-27.9,0.50,11.17,22.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"34f33ccf-e340-4416-b43c-60875dbca954","2018-11-27","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","distributed","2018-06-18T19:39Z","2018-06-18T19:39Z","DEJU_014-M-21-9.5-20180618","A00000028583","DEJU_014-M-21-9.5-20180618-CN","A00000028355","soil","N",,4.9,-26.4,0.20,3.52,17.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
