uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF
"73816285-5405-468d-b4e1-2c36dfced3b3","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,25.0,32.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T15:42Z","2018-06-18T15:42Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-O-25-32.5-20180618","A00000028561",,"O",,4.8,2.0,0.0,11.5,"entire","brownie cutter",1,"DEJU_006-O-25-32.5-20180618-GEN","B00000008216","OK",,"DEJU_006-O-25-32.5-20180618-GA1","C00000010826","DEJU_006-O-25-32.5-20180618-GA2","C00000010066","DEJU_006-O-25-32.5-20180618-GA3","C00000010845","DEJU_006-O-25-32.5-20180618-GA4","C00000010843","DEJU_006-O-25-32.5-20180618-GA5","C00000010790",,,"DEJU_006-O-25-32.5-20180618-BM","B00000008259",,,"sfrost@battelleecology.org",
"d07f7fd5-d016-469d-a8ae-91ea63eb5b4b","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,25.0,32.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T15:59Z","2018-06-18T15:59Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-M-25-32.5-20180618","A00000028562",,"M",,4.8,2.0,11.5,30.0,"maximum","trowel",1,"DEJU_006-M-25-32.5-20180618-GEN","B00000008217","OK",,"DEJU_006-M-25-32.5-20180618-GA1","C00000010857","DEJU_006-M-25-32.5-20180618-GA2","C00000010847","DEJU_006-M-25-32.5-20180618-GA3","C00000010063","DEJU_006-M-25-32.5-20180618-GA4","C00000010827","DEJU_006-M-25-32.5-20180618-GA5","C00000010084",,,"DEJU_006-M-25-32.5-20180618-BM","B00000008258",,,"sfrost@battelleecology.org",
"2c6c1091-e800-43de-9224-fbfef00c58a6","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,2.5,37.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T16:43Z","2018-06-18T16:43Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-O-2.5-37.5-20180618","A00000028557",,"O",,7.3,1.0,0.0,2.5,"entire","brownie cutter",1,"DEJU_006-O-2.5-37.5-20180618-GEN","B00000008212","OK",,"DEJU_006-O-2.5-37.5-20180618-GA1","C00000010085","DEJU_006-O-2.5-37.5-20180618-GA2","C00000010061","DEJU_006-O-2.5-37.5-20180618-GA3","C00000010844","DEJU_006-O-2.5-37.5-20180618-GA4","C00000010854","DEJU_006-O-2.5-37.5-20180618-GA5","C00000010855",,,"DEJU_006-O-2.5-37.5-20180618-BM","B00000008256",,,"sfrost@battelleecology.org",
"2924e9f4-a286-4786-bff9-c4100247cf56","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,2.5,37.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T16:55Z","2018-06-18T16:55Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-M-2.5-37.5-20180618","A00000028558",,"M",,7.3,1.0,2.5,19.0,"obstruction","trowel",1,"DEJU_006-M-2.5-37.5-20180618-GEN","B00000008213","OK",,"DEJU_006-M-2.5-37.5-20180618-GA1","C00000010803","DEJU_006-M-2.5-37.5-20180618-GA2","C00000010802","DEJU_006-M-2.5-37.5-20180618-GA3","C00000010788","DEJU_006-M-2.5-37.5-20180618-GA4","C00000010835","DEJU_006-M-2.5-37.5-20180618-GA5","C00000010822",,,"DEJU_006-M-2.5-37.5-20180618-BM","B00000008257",,"Lots of rocks","sfrost@battelleecology.org",
"2b5bbcb2-2bbe-4bea-aa11-fa14f71d16bd","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,39.5,1.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T17:22Z","2018-06-18T17:22Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-O-39.5-1.5-20180618","A00000028559",,"O",,6.1,1.0,0.0,21.0,"entire","brownie cutter",1,"DEJU_006-O-39.5-1.5-20180618-GEN","B00000008214","OK",,"DEJU_006-O-39.5-1.5-20180618-GA1","C00000010801","DEJU_006-O-39.5-1.5-20180618-GA2","C00000010850","DEJU_006-O-39.5-1.5-20180618-GA3","C00000010849","DEJU_006-O-39.5-1.5-20180618-GA4","C00000010074","DEJU_006-O-39.5-1.5-20180618-GA5","C00000010812",,,"DEJU_006-O-39.5-1.5-20180618-BM","B00000008254",,,"sfrost@battelleecology.org",
"b201811c-a6ec-4739-83a1-cb8eacfc47ff","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","distributed","evergreenForest",,39.5,1.5,"WGS84",63.835171,-145.748058,20.1,544.8,0.10,"NEON.DOC.014048vK","2018-06-18T17:35Z","2018-06-18T17:35Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_006-M-39.5-1.5-20180618","A00000028560",,"M",,6.1,1.0,21.0,26.0,"obstruction","trowel",1,"DEJU_006-M-39.5-1.5-20180618-GEN","B00000008215","OK",,"DEJU_006-M-39.5-1.5-20180618-GA1","C00000010832","DEJU_006-M-39.5-1.5-20180618-GA2","C00000010821","DEJU_006-M-39.5-1.5-20180618-GA3","C00000010852","DEJU_006-M-39.5-1.5-20180618-GA4","C00000010810","DEJU_006-M-39.5-1.5-20180618-GA5","C00000010818",,,"DEJU_006-M-39.5-1.5-20180618-BM","B00000008255",,"Rock","sfrost@battelleecology.org",
"53e6eca4-8cc7-49fd-9e3d-4256495705dd","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","distributed","evergreenForest",,14.0,9.0,"WGS84",63.831139,-145.747612,20.2,544.3,0.15,"NEON.DOC.014048vK","2018-06-18T19:04Z","2018-06-18T19:04Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_014-O-14-9-20180618","A00000028579",,"O",,2.8,1.0,0.0,4.0,"entire","brownie cutter",1,"DEJU_014-O-14-9-20180618-GEN","B00000008199","OK",,"DEJU_014-O-14-9-20180618-GA1","C00000010766","DEJU_014-O-14-9-20180618-GA2","C00000010747","DEJU_014-O-14-9-20180618-GA3","C00000010749","DEJU_014-O-14-9-20180618-GA4","C00000010741","DEJU_014-O-14-9-20180618-GA5","C00000010732",,,"DEJU_014-O-14-9-20180618-BM","B00000008249",,,"jormerod@battelleecology.org",
"c1e70261-a23c-408a-8cf1-4df65fb07a8f","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","distributed","evergreenForest",,14.0,9.0,"WGS84",63.831139,-145.747612,20.2,544.3,0.15,"NEON.DOC.014048vK","2018-06-18T19:05Z","2018-06-18T19:05Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_014-M-14-9-20180618","A00000028580",,"M",,2.8,1.0,4.0,30.0,"maximum","trowel",1,"DEJU_014-M-14-9-20180618-GEN","B00000008198","OK",,"DEJU_014-M-14-9-20180618-GA1","C00000010750","DEJU_014-M-14-9-20180618-GA2","C00000010687","DEJU_014-M-14-9-20180618-GA3","C00000010752","DEJU_014-M-14-9-20180618-GA4","C00000010780","DEJU_014-M-14-9-20180618-GA5","C00000010753",,,"DEJU_014-M-14-9-20180618-BM","B00000008251",,,"jormerod@battelleecology.org",
"8d8a2aa2-c3f2-4b3d-a294-facfa5bae031","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","distributed","evergreenForest",,21.0,9.5,"WGS84",63.831139,-145.747612,20.2,544.3,0.15,"NEON.DOC.014048vK","2018-06-18T19:32Z","2018-06-18T19:32Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_014-O-21-9.5-20180618","A00000028584",,"O",,4.3,1.0,0.0,2.5,"entire","brownie cutter",1,"DEJU_014-O-21-9.5-20180618-GEN","B00000008196","OK",,"DEJU_014-O-21-9.5-20180618-GA1","C00000010765","DEJU_014-O-21-9.5-20180618-GA2","C00000010786","DEJU_014-O-21-9.5-20180618-GA3","C00000010760","DEJU_014-O-21-9.5-20180618-GA4","C00000010779","DEJU_014-O-21-9.5-20180618-GA5","C00000010757",,,"DEJU_014-O-21-9.5-20180618-BM","B00000008272",,,"jormerod@battelleecology.org",
"93eb2c1c-c37d-4f11-a83b-94d23f3b0218","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","distributed","evergreenForest",,21.0,9.5,"WGS84",63.831139,-145.747612,20.2,544.3,0.15,"NEON.DOC.014048vK","2018-06-18T19:39Z","2018-06-18T19:39Z","peakGreenness",,,0.0,"tInitial","microbesBiomassBGC",,,,"DEJU_014-M-21-9.5-20180618","A00000028583",,"M",,4.3,1.0,2.5,20.0,"obstruction","trowel",2,"DEJU_014-M-21-9.5-20180618-GEN","B00000008197","OK",,"DEJU_014-M-21-9.5-20180618-GA1","C00000010777","DEJU_014-M-21-9.5-20180618-GA2","C00000010778","DEJU_014-M-21-9.5-20180618-GA3","C00000010782","DEJU_014-M-21-9.5-20180618-GA4","C00000010767","DEJU_014-M-21-9.5-20180618-GA5","C00000010770",,,"DEJU_014-M-21-9.5-20180618-BM","B00000008253",,"Rock","jormerod@battelleecology.org",
