uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"622851c9-fe80-41dd-9017-c9d34a6a920d","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","2018-06-18T16:43Z","2018-07-09T20:14Z","DEJU_006-O-2.5-37.5-20180709","A00000029185","DEJU_006-O-2.5-37.5-20180709-KCL","B00000008464","ok","2018-08-02",0.287,1,"OK",,"2018-08-04",0.000,1,"blanks exceed sample value",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"af448c17-7921-4ea4-905f-fceb9fd4625d","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","2018-06-18T16:55Z","2018-07-09T20:15Z","DEJU_006-M-2.5-37.5-20180709","A00000029186","DEJU_006-M-2.5-37.5-20180709-KCL","B00000008466","ok","2018-08-02",0.176,1,"OK",,"2018-08-04",0.041,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"711b7d6b-f168-453c-af5d-ffc7f2c6596b","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","2018-06-18T17:22Z","2018-07-09T19:49Z","DEJU_006-O-39.5-1.5-20180709","A00000029181","DEJU_006-O-39.5-1.5-20180709-KCL","B00000008463","ok","2018-08-02",2.652,1,"OK",,"2018-08-04",0.027,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"0d500b5f-b5e1-4669-8d63-f82d43f804a7","DEJU_006.basePlot.bgc","D19","DEJU","DEJU_006","2018-06-18T17:35Z","2018-07-09T19:56Z","DEJU_006-M-39.5-1.5-20180709","A00000029182","DEJU_006-M-39.5-1.5-20180709-KCL","B00000008465","ok","2018-08-02",0.041,1,"OK",,"2018-08-09",0.034,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"bf3bda34-bf33-4d90-8fe4-54683a0b73b4","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T19:04Z","2018-07-09T19:22Z","DEJU_014-O-14-9-20180709","A00000029173","DEJU_014-O-14-9-20180709-KCL","B00000008437","ok","2018-08-02",0.210,1,"OK",,"2018-08-04",0.029,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"1b02d027-39cf-423f-9f2d-5600006167af","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T19:05Z","2018-07-09T19:27Z","DEJU_014-M-14-9-20180709","A00000029174","DEJU_014-M-14-9-20180709-KCL","B00000008446","ok","2018-08-02",0.104,1,"OK",,"2018-08-09",0.037,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"c7d91848-e349-4941-b036-0b0ec4b30b91","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T19:32Z","2018-07-09T19:14Z","DEJU_014-O-21-9.5-20180709","A00000029171","DEJU_014-O-21-9.5-20180709-KCL","B00000008443","ok","2018-08-02",0.622,1,"OK",,"2018-08-04",0.029,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"36ddae52-b353-4620-a8d3-1adbd7cf981b","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T19:39Z","2018-07-09T19:07Z","DEJU_014-M-21-9.5-20180709","A00000029172","DEJU_014-M-21-9.5-20180709-KCL","B00000008445","ok","2018-08-02",0.218,1,"OK",,"2018-08-04",0.035,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"fa3659e0-8a2d-4a84-a3ba-3e78a522ef3f","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T20:14Z","2018-07-09T18:56Z","DEJU_014-O-33.5-24.5-20180709","A00000029169","DEJU_014-O-33.5-24.5-20180709-KCL","B00000008432","ok","2018-08-02",1.739,1,"OK",,"2018-08-04",0.037,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
"4fb802da-0ce6-40f8-9cbb-b8fdc2ab07b5","DEJU_014.basePlot.bgc","D19","DEJU","DEJU_014","2018-06-18T20:21Z","2018-07-09T19:01Z","DEJU_014-M-33.5-24.5-20180709","A00000029170","DEJU_014-M-33.5-24.5-20180709-KCL","B00000008444","ok","2018-08-07",0.031,1,"OK",,"2018-08-08",0.075,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",
