uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"48760082-8db7-4ff3-943a-397145ad8c16","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:22Z","2023-06-26T20:08Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_048-M-23-20230626|DEJU_048-M-41-20230626|DEJU_048-M-21-20230626","DEJU_048-M-20230626-COMP","B00000173222","OK","0009-0002-9286-7877",,
"a0c4a815-f843-4ab1-ad16-087820e03b36","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T20:15Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_045-O-41-20230626|DEJU_045-O-21-20230626","DEJU_045-O-20230626-COMP","B00000047500","OK","0009-0002-9286-7877",,
"212bf87d-e6a3-405f-86bb-1db61080c971","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T20:48Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_045-M-41-20230626|DEJU_045-M-23-20230626|DEJU_045-M-21-20230626","DEJU_045-M-20230626-COMP","B00000173234","OK","0009-0002-9286-7877",,
"9551c4fe-a66f-4625-ab97-dbfb97fa125e","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:45Z","2023-06-26T20:08Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_048-O-23-20230626|DEJU_048-O-21-20230626|DEJU_048-O-41-20230626","DEJU_048-O-20230626-COMP","B00000173103","OK","0009-0002-9286-7877",,
"0e7fbfaf-aa87-435b-b35e-2424b112f6f5","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2023-06-26T21:39Z","2023-06-26T23:44Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_046-O-39-20230626|DEJU_046-O-21-20230626|DEJU_046-O-41-20230626","DEJU_046-O-20230626-COMP","B00000173111","OK","0009-0002-9286-7877",,
"a223d970-6d98-43b8-8f0e-2edf882bcb2e","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2023-06-26T21:39Z","2023-06-26T23:48Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_046-M-21-20230626|DEJU_046-M-39-20230626|DEJU_046-M-41-20230626","DEJU_046-M-20230626-COMP","B00000173233","OK","0009-0002-9286-7877",,
"b7414b48-0bc2-4957-81c1-d677f6414afb","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2023-06-26T21:48Z","2023-06-27T00:01Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_047-O-39-20230626|DEJU_047-O-41-20230626|DEJU_047-O-21-20230626","DEJU_047-O-20230626-COMP","B00000173107","OK","0009-0002-9286-7877",,
"f317fcc6-f6cc-4524-a061-b95120a01659","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2023-06-26T22:19Z","2023-06-27T00:01Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_047-M-41-20230626|DEJU_047-M-39-20230626|DEJU_047-M-21-20230626","DEJU_047-M-20230626-COMP","B00000173220","OK","0009-0002-9286-7877",,
"6fa7c347-1a29-4b7e-9b0b-b1d1780cb52a","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T19:32Z","2023-06-28T21:03Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_014-O-23-20230628|DEJU_014-O-39-20230628|DEJU_014-O-21-20230628","DEJU_014-O-20230628-COMP","B00000173071","OK","0000-0002-0123-6184",,
"6b215116-0994-470d-be15-6d2069b0ea58","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T19:32Z","2023-06-28T21:03Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_014-M-39-20230628|DEJU_014-M-23-20230628|DEJU_014-M-21-20230628","DEJU_014-M-20230628-COMP","B00000173228","OK","0000-0001-9521-413X",,
"2cc3d726-1a4d-4f9b-8d62-efddc15fb9e4","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T19:34Z","2023-06-28T21:15Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_009-O-39-20230628|DEJU_009-O-41-20230628|DEJU_009-O-21-20230628","DEJU_009-O-20230628-COMP","B00000173081","OK","0000-0001-9521-413X",,
"6531d14d-f182-49dc-a6e1-db1be12f5037","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T19:34Z","2023-06-28T21:15Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_009-M-39-20230628|DEJU_009-M-21-20230628|DEJU_009-M-41-20230628","DEJU_009-M-20230628-COMP","B00000173229","OK","0000-0001-9521-413X",,
"ceec113b-df7b-40bd-8076-cb6c3acf68c6","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T22:59Z","2023-06-29T01:21Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_006-O-39-20230628|DEJU_006-O-41-20230628|DEJU_006-O-21-20230628","DEJU_006-O-20230628-COMP","B00000173082","OK","0000-0001-9521-413X",,
"68d7b78e-9c05-4d55-8fce-548b62671ca0","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T22:59Z","2023-06-29T01:21Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_006-M-41-20230628|DEJU_006-M-39-20230628|DEJU_006-M-21-20230628","DEJU_006-M-20230628-COMP","B00000173243","OK","0000-0001-9521-413X",,
"58eafc09-1523-418b-869e-5d210ed44e37","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2023-06-29T02:24Z","2023-06-29T03:03Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_001-M-23-20230628|DEJU_001-M-21-20230628|DEJU_001-M-41-20230628","DEJU_001-M-20230628-COMP","B00000173084","OK","0000-0002-0123-6184",,
"20b20a21-cc23-4163-99bf-cd1250588611","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T16:39Z","2023-06-29T16:39Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_002-O-39-20230629","DEJU_002-O-20230629-COMP","B00000173083","OK","0009-0002-9286-7877",,
"803dd728-6b29-44b4-a6ee-f4540428e0bc","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T16:48Z","2023-06-29T18:21Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_002-M-21-20230629|DEJU_002-M-23-20230629|DEJU_002-M-39-20230629","DEJU_002-M-20230629-COMP","B00000173225","OK","0009-0002-9286-7877",,
"f8a35d7d-906a-48ad-b47c-e58c24534095","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T20:10Z","2023-06-29T22:11Z","DEJU.peakGreenness.2023","NEON.DOC.014048vO","DEJU_015-O-21-20230629|DEJU_015-O-23-20230629|DEJU_015-O-41-20230629","DEJU_015-O-20230629-COMP","B00000173067","OK","0009-0002-9286-7877",,
