uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"ab29eb10-d263-428f-bb90-706ca6755fd0","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:22Z","2023-06-26T17:22Z","DEJU_048-M-23-20230626","A00000309890","DEJU_048-M-23-20230626-SM","NEON.DOC.014048vO","M","2023-06-27T19:00Z","2023-06-29T23:47Z",2.240,12.530,9.970,0.331,0.751,"OK",,"0009-0007-1610-5287",
"1b16e926-e30e-409f-acaa-8fcba1b2fe5c","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T17:32Z","DEJU_045-M-21-20230626","A00000309389","DEJU_045-M-21-20230626-SM","NEON.DOC.014048vO","M","2023-06-27T18:00Z","2023-06-30T00:09Z",2.110,12.430,9.770,0.347,0.742,"OK",,"0009-0007-1610-5287",
"fcee9786-a802-4823-bf8b-f0b4ca735705","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T17:32Z","DEJU_045-O-21-20230626","A00000427678","DEJU_045-O-21-20230626-SM","NEON.DOC.014048vO","O","2023-06-27T18:00Z","2023-06-30T00:09Z",2.160,7.330,5.120,0.747,0.573,"OK",,"0009-0007-1610-5287",
"03bfa199-882b-4c4a-b0fe-50b32f01c031","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:45Z","2023-06-26T17:45Z","DEJU_048-O-23-20230626","A00000427689","DEJU_048-O-23-20230626-SM","NEON.DOC.014048vO","O","2023-06-27T19:00Z","2023-06-29T23:47Z",2.220,7.450,6.040,0.369,0.730,"OK",,"0009-0007-1610-5287",
"f350293a-f25f-46b2-8fa7-217749488a36","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T18:45Z","2023-06-26T18:45Z","DEJU_048-M-41-20230626","A00000309722","DEJU_048-M-41-20230626-SM","NEON.DOC.014048vO","M","2023-06-27T19:00Z","2023-06-29T23:47Z",2.190,12.090,8.490,0.571,0.636,"OK",,"0009-0007-1610-5287",
"2bfb1373-3e2a-42f9-84a0-73602a9bbe92","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T18:45Z","2023-06-26T18:45Z","DEJU_048-O-41-20230626","A00000427687","DEJU_048-O-41-20230626-SM","NEON.DOC.014048vO","O","2023-06-27T19:00Z","2023-06-29T23:47Z",2.150,7.560,5.690,0.528,0.654,"OK",,"0009-0007-1610-5287",
"3fc1757b-5eb1-4634-8c07-8cbe4d7f203c","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T18:52Z","2023-06-26T18:52Z","DEJU_045-M-23-20230626","A00000309388","DEJU_045-M-23-20230626-SM","NEON.DOC.014048vO","M","2023-06-27T18:00Z","2023-06-30T00:09Z",2.160,12.600,10.790,0.210,0.827,"OK",,"0009-0007-1610-5287",
"aae57942-d488-4a47-8d7f-5c7c0593b3b5","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T20:08Z","2023-06-26T20:08Z","DEJU_048-O-21-20230626","A00000427688","DEJU_048-O-21-20230626-SM","NEON.DOC.014048vO","O","2023-06-27T19:00Z","2023-06-29T23:47Z",2.180,7.530,5.580,0.574,0.636,"OK",,"0009-0007-1610-5287",
"ada8cea5-62f3-4c92-a517-7344ff47a3e8","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T20:08Z","2023-06-26T20:08Z","DEJU_048-M-21-20230626","A00000309893","DEJU_048-M-21-20230626-SM","NEON.DOC.014048vO","M","2023-06-27T19:00Z","2023-06-29T23:47Z",2.230,12.390,9.630,0.373,0.728,"OK",,"0009-0007-1610-5287",
"a7b6dd82-3701-4dee-9e6b-051e68016ce3","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T20:15Z","2023-06-26T20:15Z","DEJU_045-O-41-20230626","A00000427680","DEJU_045-O-41-20230626-SM","NEON.DOC.014048vO","O","2023-06-27T18:00Z","2023-06-30T00:09Z",2.140,7.490,5.970,0.397,0.716,"OK",,"0009-0007-1610-5287",
