uid,analyte,analyteUnits,sampleType,qaReferenceID,lotID,analyteKnownValue,analyteObservedValue,analytePercentRecovery,analyteStandardDeviation,methodDetectionLimit,analyteMetricsCount,qaReportingStartDate,qaReportingEndDate,laboratoryName,instrument,method,dataQF
"87fea941-c051-4583-9637-0d0a52170fb5","NO3+NO2-N","milligramsPerLiter","water","PQL","M02806",0.05,0.05,97.7,0.003,0.01,140,"2023-01-27","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"399fd6f9-07a1-4c72-93f1-5f826b322bf8","NH4-N","milligramsPerLiter","KCl","CCCS","M06023",0.80,0.80,100.1,0.016,0.01,241,"2023-01-27","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"8c64acc5-89af-4d64-80bc-5a2940211194","NH4-N","milligramsPerLiter","KCl","P315505","P315505",0.83,0.85,101.6,0.026,0.01,160,"2023-01-27","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"e424e85e-ac57-4e83-8d36-86a7d1c3e5ca","NO3+NO2-N","milligramsPerLiter","water","CCCS","M02806",0.80,0.79,98.3,0.019,0.01,268,"2023-01-27","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"ae91e7e0-23a3-42b8-a7e3-e473853891c5","NO3+NO2-N","milligramsPerLiter","water","P315505","P315505",0.83,0.84,102.2,0.015,0.01,81,"2023-09-25","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"8c490f98-0168-4b5f-87f6-e7c46b9b0d1f","NO3+NO2-N","milligramsPerLiter","water","P315505","P315505",0.66,0.68,102.6,0.011,0.01,92,"2023-01-27","2023-09-19","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"891fdddd-94f2-43cb-8165-f42b7cfa64a7","NH4-N","milligramsPerLiter","KCl","PQL","M06023",0.05,0.05,100.3,0.003,0.01,127,"2023-01-27","2024-03-05","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"3d1e40d8-0c0f-4a11-a069-09d8a74f5e3a","NO3+NO2-N","milligramsPerLiter","water","CCCS","M02806",0.80,0.79,98.9,0.019,0.01,214,"2022-03-08","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"d58b342b-0fca-4ffe-9eda-54c3f295d303","NH4-N","milligramsPerLiter","KCl","PQL","K23220",0.05,0.05,102.4,0.003,0.01,110,"2022-01-01","2022-09-27","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"6557f583-9b1c-4155-abe3-6df59308b9f7","NO3+NO2-N","milligramsPerLiter","water","P315505","P315505",0.66,0.66,100.4,0.014,0.01,99,"2022-06-24","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"11ee3e48-61d6-4d66-a368-2a548f9093a9","NO3+NO2-N","milligramsPerLiter","water","PQL","K07024",0.05,0.05,99.8,0.001,0.01,35,"2022-01-01","2022-03-07","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"b07ae4a2-bb96-4dbb-958a-247ecb8303d4","NH4-N","milligramsPerLiter","KCl","CCCS","M06023",0.80,0.80,100.2,0.010,0.01,64,"2022-09-28","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"82b7bf7c-5341-425e-abbd-61b535cfe8dc","NH4-N","milligramsPerLiter","KCl","P291505","P291505",0.82,0.83,101.9,0.017,0.01,81,"2022-01-01","2022-06-23","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"a6c1ddf4-ac6f-47da-8ec9-ec54f33296cf","NO3+NO2-N","milligramsPerLiter","water","CCCS","K07024",0.80,0.78,98.0,0.010,0.01,63,"2022-01-01","2022-03-07","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"bdc068f0-e310-49f6-ab29-4ea7dd10d7de","NO3+NO2-N","milligramsPerLiter","water","PQL","M02806",0.05,0.05,96.4,0.002,0.01,112,"2022-03-08","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"0d4dbd84-3189-439d-8aef-7e107476e7ea","NH4-N","milligramsPerLiter","KCl","PQL","M06023",0.05,0.05,106.3,0.002,0.01,34,"2022-09-28","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"7dc0299b-178a-479f-9953-4b77e2ecec50","NO3+NO2-N","milligramsPerLiter","water","P291505","P291505",0.77,0.79,102.2,0.016,0.01,84,"2022-01-01","2022-06-23","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"00157126-88c6-47c9-ba45-7172fbfe8c2a","NH4-N","milligramsPerLiter","KCl","P315505","P315505",0.83,0.84,100.7,0.014,0.01,94,"2022-06-24","2022-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"71a514f9-f602-4204-9eea-5fc1f2bf0db1","NH4-N","milligramsPerLiter","KCl","CCCS","K23220",0.80,0.81,100.7,0.015,0.01,205,"2022-01-01","2022-09-27","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"da2e1455-c2fb-402a-bd70-34061f6f0026","NH4-N","milligramsPerLiter","KCl","CCCS","K23220",0.80,0.80,100.2,0.015,0.01,156,"2021-03-16","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"f6a45b91-438e-4ea5-bb28-4cf89e5dab68","NH4-N","milligramsPerLiter","KCl","P291505","P291505",0.82,0.82,100.4,0.015,0.01,96,"2021-05-12","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"31bf52ab-8d70-499c-a6bd-d42813cc874a","NH4-N","milligramsPerLiter","KCl","PQL","K23220",0.05,0.05,102.2,0.003,0.01,82,"2021-03-16","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"42769b74-9053-4f13-b046-33b38c9bbc55","NO3+NO2-N","milligramsPerLiter","water","P291505","P291505",0.77,0.78,101.1,0.018,0.01,97,"2021-03-16","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"6bc392e0-c49d-4900-94b1-ff76379c34d9","NO3+NO2-N","milligramsPerLiter","water","PQL","K07024",0.05,0.05,100.7,0.003,0.01,82,"2021-03-16","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"6b16b1dc-b34b-40c3-9d18-b02590526d0f","NO3+NO2-N","milligramsPerLiter","water","CCCS","K07024",0.80,0.80,99.5,0.019,0.01,156,"2021-03-16","2021-11-03","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"70d4dc3f-831e-437b-9d14-a1d6cd69c357","NO3+NO2-N","milligramsPerLiter","water","PQL","H22526",0.05,0.05,99.2,0.003,0.01,147,"2019-03-26","2019-11-14","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"dea9285d-d25b-4208-94d0-8c0638a7e79e","NO3+NO2-N","milligramsPerLiter","water","PQL","H22526",0.05,0.05,98.3,0.003,0.01,65,"2019-11-15","2020-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"9846824c-c09f-4a48-b60e-76432200f2a2","NH4-N","milligramsPerLiter","KCl","PQL","H06814",0.05,0.05,101.4,0.003,0.01,65,"2019-11-15","2020-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer II","WBL-AN-020",
"59a8e7c4-11f2-4820-97b6-24873754e79a","NO3+NO2-N","milligramsPerLiter","water","CCCS","H22526",0.80,0.80,99.4,0.013,0.01,267,"2019-03-26","2019-11-14","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"cde545d8-1dbb-4cc4-8c4b-649198b7c73c","NO3+NO2-N","milligramsPerLiter","water","P291505","P289505",0.77,0.77,100.7,0.010,0.01,49,"2020-02-29","2020-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"01dcce49-3e90-4219-bdca-2c04c741b3b1","NO3+NO2-N","milligramsPerLiter","water","CCCS","H22526",0.80,0.80,100.1,0.015,0.01,123,"2019-11-15","2020-12-31","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
"5da0178e-fc03-4fc3-9387-90cde2c28d86","NO3+NO2-N","milligramsPerLiter","water","P289505","P289505",0.89,0.87,97.5,0.013,0.01,33,"2019-11-15","2020-02-28","University of Florida Wetland Biogeochemistry Laboratory","Bran+Luebbe AutoAnalyzer 3","WBL-AN-008",
