uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF
"2a60dfb7-b972-4892-a788-ff442759ffb7","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","tower","dwarfScrub",,36.0,2.5,"WGS84",63.875088,-149.210438,20.1,677.6,0.16,"NEON.DOC.014048vF","2015-08-25T22:00Z","2015-08-25T22:00Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_048-O-36-2.5-20150825",,,"O","other",4.5,12.0,0.0,29.6,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"3a29429a-8d97-4300-8c9a-21f63088dd60","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","tower","dwarfScrub",,18.0,34.5,"WGS84",63.875088,-149.210438,20.1,677.6,0.16,"NEON.DOC.014048vF","2015-08-25T22:30Z","2015-08-25T22:30Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_048-O-18-34.5-20150825",,,"O","other",3.6,8.0,0.0,29.6,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"fb0e3d00-d0b7-48ec-a127-07cd3afba838","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","tower","dwarfScrub",,37.0,37.0,"WGS84",63.875088,-149.210438,20.1,677.6,0.16,"NEON.DOC.014048vF","2015-08-25T22:45Z","2015-08-25T22:45Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_048-O-37-37-20150825",,,"O","other",3.5,6.0,0.0,29.3,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm. QC0","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"688546bb-d0f3-4ad4-905e-85c8788b80b9","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","tower","dwarfScrub",,6.5,19.5,"WGS84",63.875485,-149.219030,20.1,683.4,0.10,"NEON.DOC.014048vF","2015-08-26T01:30Z","2015-08-26T01:30Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_045-O-6.5-19.5-20150825",,,"O","other",4.1,7.0,0.0,29.8,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm. QC0","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"93373b07-2f2a-48a3-934b-90807fa9760a","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","tower","dwarfScrub",,27.5,8.0,"WGS84",63.875485,-149.219030,20.1,683.4,0.10,"NEON.DOC.014048vF","2015-08-26T01:45Z","2015-08-26T01:45Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_045-O-27.5-8-20150825",,,"O","other",6.5,5.0,0.0,29.4,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"96897814-93d8-4de4-aae5-99459e7ed3d5","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","tower","dwarfScrub",,30.0,35.5,"WGS84",63.875485,-149.219030,20.1,683.4,0.10,"NEON.DOC.014048vF","2015-08-26T02:00Z","2015-08-26T02:00Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_045-O-30-35.5-20150825",,,"O","other",5.1,4.0,0.0,29.7,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"f69b0157-ecd8-40e6-a72b-8e1b9e677362","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","tower","shrubScrub",,38.0,24.5,"WGS84",63.872772,-149.220657,20.2,688.3,0.35,"NEON.DOC.014048vF","2015-08-26T19:35Z","2015-08-26T19:35Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_047-O-38-24.5-20150826",,,"O","other",3.8,18.0,0.0,29.5,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"04c6475b-e6b6-41ee-86d6-7d182da7adb3","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","tower","shrubScrub",,32.0,12.5,"WGS84",63.872772,-149.220657,20.2,688.3,0.35,"NEON.DOC.014048vF","2015-08-26T20:00Z","2015-08-26T20:00Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_047-O-32-12.5-20150826",,,"O","other",8.5,7.0,0.0,30.2,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm. QC0","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"8ced8ed8-6b3d-4dcf-bf64-d5c102430a09","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","tower","shrubScrub",,7.0,7.5,"WGS84",63.872772,-149.220657,20.2,688.3,0.35,"NEON.DOC.014048vF","2015-08-26T20:15Z","2015-08-26T20:15Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_047-M-7-7.5-20150826",,,"M","other",7.9,6.0,16.0,29.8,,,1,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"43c90b2b-b343-453e-b130-8e146008f0e4","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","tower","shrubScrub",,7.0,7.5,"WGS84",63.872772,-149.220657,20.2,688.3,0.35,"NEON.DOC.014048vF","2015-08-26T20:15Z","2015-08-26T20:15Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_047-O-7-7.5-20150826",,,"O","other",7.9,6.0,0.0,16.0,,,1,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"baef41c6-d7b5-4c10-a7b6-1ebcf3a6d789","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","tower","shrubScrub",,31.0,24.0,"WGS84",63.873367,-149.216447,20.1,691.0,0.10,"NEON.DOC.014048vF","2015-08-27T19:00Z","2015-08-27T19:00Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_046-O-31-24-20150827",,,"O","other",7.2,7.0,0.0,31.2,,,0,,,,,,,,,,,,,,,,,,,,"Organic horizon exceeds 30 cm","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"f9c4fcbf-df93-42a6-bda3-2fc91ff07049","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","tower","shrubScrub",,30.5,13.5,"WGS84",63.873367,-149.216447,20.1,691.0,0.10,"NEON.DOC.014048vF","2015-08-27T19:26Z","2015-08-27T19:26Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_046-O-30.5-13.5-20150827",,,"O","other",4.7,4.0,0.0,11.0,,,2,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"fbc4a25c-4f06-4339-a60f-6f9eb502f4c1","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","tower","shrubScrub",,30.5,13.5,"WGS84",63.873367,-149.216447,20.1,691.0,0.10,"NEON.DOC.014048vF","2015-08-27T19:26Z","2015-08-27T19:26Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_046-M-30.5-13.5-20150827",,,"M","other",4.7,4.0,11.0,30.1,,,2,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Kschroder@neoninc.org","legacyData|alaskaDeprecatedMethod"
"86b36630-1b5e-4df0-ab11-c7f562409664","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","tower","shrubScrub",,5.5,32.0,"WGS84",63.873367,-149.216447,20.1,691.0,0.10,"NEON.DOC.014048vF","2015-08-27T20:05Z","2015-08-27T20:05Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_046-O-5.5-32-20150827",,,"O","other",4.2,11.0,0.0,15.4,,,2,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
"c52c50d6-bb47-4bd1-88fe-7074942ea5f3","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","tower","shrubScrub",,5.5,32.0,"WGS84",63.873367,-149.216447,20.1,691.0,0.10,"NEON.DOC.014048vF","2015-08-27T20:05Z","2015-08-27T20:05Z","peakGreenness",,,0.0,"No","biogeochemistry",,"no incubation",,"HEAL_046-M-5.5-32-20150827",,,"M","other",4.2,11.0,15.4,30.0,,,2,,,,,,,,,,,,,,,,,,,,"Mineral horizon exceeds 30 cm","Ebarris@field-ops.org","legacyData|alaskaDeprecatedMethod"
