uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"d2016730-c4ab-4395-8cfe-94978906fbb3","2017-11-16","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2016-07-26T01:30Z","2016-07-26T01:30Z","HEAL_048-O-6.5-19.5-20160725",,"HEAL_048-O-6.5-19.5-20160725-CN",,"soil","N",,1.3,-26.4,1.02,25.94,25.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"cff2eec3-65fd-47c1-89c6-690aee9d3c09","2017-11-16","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2016-07-26T02:00Z","2016-07-26T02:00Z","HEAL_048-O-27.5-8-20160725",,"HEAL_048-O-27.5-8-20160725-CN",,"soil","N",,1.1,-26.2,1.81,41.68,23.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"4683221c-bcd1-4f6e-9067-bd4e7201a7f4","2017-11-16","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2016-07-26T03:00Z","2016-07-26T03:00Z","HEAL_048-O-30-35.5-20160725",,"HEAL_048-O-30-35.5-20160725-CN",,"soil","N",,0.4,-26.4,0.72,18.80,26.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"21e80501-96bd-434e-8d2b-90242a733d92","2017-11-16","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2016-07-26T18:20Z","2016-07-26T18:20Z","HEAL_047-O-12-7-20160726",,"HEAL_047-O-12-7-20160726-CN",,"soil","N",,2.4,-26.4,0.99,28.48,28.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"4f01a337-dba1-4e26-a6fc-549997ad3dee","2017-11-16","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2016-07-26T19:15Z","2016-07-26T19:15Z","HEAL_047-O-33-0-20160726",,"HEAL_047-O-33-0-20160726-CN",,"soil","N",,0.5,-26.2,0.87,25.81,29.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"a5d1ce3f-abd4-4f50-9560-1d3d3419abae","2017-11-16","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2016-07-26T19:45Z","2016-07-26T19:45Z","HEAL_047-O-32-20.5-20160726",,"HEAL_047-O-32-20.5-20160726-CN",,"soil","N",,2.7,-26.4,1.32,31.80,24.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"5179d593-2c6d-48a7-8c42-3770837b2bcb","2017-11-15","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2016-07-26T21:45Z","2016-07-26T21:45Z","HEAL_046-O-30-11.5-20160726",,"HEAL_046-O-30-11.5-20160726-CN",,"soil","N",,1.7,-26.6,0.88,28.05,32.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"df6db941-1f5b-4ee9-99f4-ea0cbb28ce88","2017-11-16","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2016-07-26T22:20Z","2016-07-26T22:20Z","HEAL_046-O-31-38-20160726",,"HEAL_046-O-31-38-20160726-CN",,"soil","N",,1.5,-26.3,1.15,26.60,23.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"5a71831b-f9d3-4093-a596-ff2f1c42c5f8","2017-11-16","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2016-07-26T22:20Z","2016-07-26T22:20Z","HEAL_046-O-31-38-20160726",,"HEAL_046-O-31-38-20160726-CN",,"soil","N",,1.5,-26.3,1.12,25.95,23.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
"8e678848-1d8a-46d2-966c-d36ea9249604","2017-11-16","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2016-07-26T23:10Z","2016-07-26T23:10Z","HEAL_046-O-1.5-24.5-20160726",,"HEAL_046-O-1.5-24.5-20160726-CN",,"soil","N",,1.3,-26.2,0.93,24.91,26.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","alaskaDeprecatedMethod|dryingProtocolError"
