uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"51595ed6-5d63-4984-bdf6-09c9e03fe9ed","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2017-07-24T22:09Z","2017-07-24T23:10Z",,"NEON.DOC.004130vA","HEAL_010-O-4.5-13-20170724|HEAL_010-O-27.5-7-20170724|HEAL_010-O-5.5-29-20170724","HEAL_010-O-20170724-COMP",,"OK","Rtroske@battelleecology.org",,
"c2f6e0a8-ade8-4ea0-acf6-eb8c551925b8","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2017-07-25T00:33Z","2017-07-25T01:08Z",,"NEON.DOC.004130vA","HEAL_001-O-33-10.5-20170724|HEAL_001-O-10-32.5-20170724|HEAL_001-O-5-8-20170724","HEAL_001-O-20170724-COMP",,"OK","Rtroske@battelleecology.org",,
"c292a92b-ce9c-432b-824f-bd3bb0299e48","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2017-07-25T17:28Z","2017-07-25T18:31Z",,"NEON.DOC.004130vA","HEAL_046-O-30.5-0-20170725|HEAL_046-O-4.5-13.5-20170725|HEAL_046-O-8.5-31-20170725","HEAL_046-O-20170725-COMP",,"OK","AVazquez@battelleecology.org",,
"0d461828-0edf-48eb-8bef-57d7c63d9ee4","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2017-07-25T17:33Z","2017-07-25T18:28Z",,"NEON.DOC.014048vJ","HEAL_048-O-18-34.5-20170725|HEAL_048-O-36-2.5-20170725|HEAL_048-O-14-7-20170725","HEAL_048-O-20170725-COMP",,"OK","jormerod@battelleecology.org","The following samples included in the composite are from resampled locations: HEAL_048-O-36-2.5-20170725, HEAL_048-O-18-34.5-20170725","location-resampled"
"844b850a-09b7-4ef4-8955-19525c7ee732","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2017-07-25T20:01Z","2017-07-25T21:08Z",,"NEON.DOC.004130vA","HEAL_047-O-24.5-6.5-20170725|HEAL_047-O-18-4-20170725|HEAL_047-O-4.5-21-20170725","HEAL_047-O-20170725-COMP",,"OK","AVazquez@battelleecology.org",,
"45cb5ac2-1488-436d-8814-20df381e9732","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2017-07-25T20:15Z","2017-07-25T21:21Z",,"NEON.DOC.014048vJ","HEAL_045-O-15-32-20170725|HEAL_045-O-34.5-5-20170725|HEAL_045-O-12.5-1-20170725","HEAL_045-O-20170725-COMP",,"OK","jormerod@battelleecology.org",,
"2c97236d-3897-4911-8435-09f1ffb124bd","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2017-07-26T17:50Z","2017-07-26T18:38Z",,"NEON.DOC.014048vJ","HEAL_011-O-14-5-20170726|HEAL_011-O-35.5-12-20170726|HEAL_011-O-14-33-20170726","HEAL_011-O-20170726-COMP",,"OK","rtroske@battelleecology.org",,
"bc9a8f2e-4435-440c-a1ae-1a7980c22820","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2017-07-26T18:03Z","2017-07-26T19:10Z",,"NEON.DOC.004130vA","HEAL_025-O-1-7-20170726|HEAL_025-O-39.5-6.5-20170726|HEAL_025-O-8.5-37.5-20170726","HEAL_025-O-20170726-COMP",,"OK","Sfrost@battelleecology.org",,
"7e309479-d1fb-4fcc-bcb0-913dc04e6e45","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2017-07-26T21:45Z","2017-07-26T22:35Z",,"NEON.DOC.004130vA","HEAL_005-O-38-4-20170726|HEAL_005-O-16.5-3.5-20170726|HEAL_005-O-8.5-20-20170726","HEAL_005-O-20170726-COMP",,"OK","Sfrost@battelleecology.org",,
"74ef4b52-a980-4e36-ae57-85f6f401d90f","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2017-07-26T22:00Z","2017-07-26T22:50Z",,"NEON.DOC.014048vJ","HEAL_004-O-8-33-20170726|HEAL_004-O-9.5-11.5-20170726|HEAL_004-O-25-9.5-20170726","HEAL_004-O-20170726-COMP",,"OK","rtroske@battelleecology.org",,
