uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"8561863f-664b-4f26-aef3-15316b55afca","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2019-07-08T22:58Z","2019-07-08T22:58Z","HEAL_011-O-37-11-20190708","B00000046249","HEAL_011-O-37-11-20190708-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.280,7.380,3.960,2.036,0.329,,,"0000-0002-1697-6425",
"7b9b80b2-a3dd-40b7-8ece-454490ff74dd","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2019-07-08T23:44Z","2019-07-08T23:44Z","HEAL_011-O-33.5-31.5-20190708","B00000046250","HEAL_011-O-33.5-31.5-20190708-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.290,7.380,3.510,3.172,0.240,,,"0000-0002-1697-6425",
"49e5b7dc-0f6e-4357-8afc-562879118ef4","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2019-07-08T23:52Z","2019-07-08T23:52Z","HEAL_011-O-12.5-35-20190708","B00000046248","HEAL_011-O-12.5-35-20190708-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.250,7.270,3.120,4.770,0.173,,,"0000-0002-1697-6425",
"2a4902ba-9629-4913-8f01-53874a495332","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2019-07-09T18:08Z","2019-07-09T18:08Z","HEAL_001-O-19-4-20190709","B00000046263","HEAL_001-O-19-4-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.300,7.220,3.580,2.844,0.260,,,"0000-0002-1697-6425",
"f43ceee8-0297-4918-bc36-f74142193f50","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2019-07-09T18:36Z","2019-07-09T18:36Z","HEAL_001-O-37-5.5-20190709","B00000046265","HEAL_001-O-37-5.5-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.280,7.270,3.320,3.798,0.208,,,"0000-0002-1697-6425",
"ac6b0a53-7058-4c34-942d-667fb43811e9","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2019-07-09T19:02Z","2019-07-09T19:02Z","HEAL_001-O-37.5-37-20190709","B00000046264","HEAL_001-O-37.5-37-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.290,7.360,4.770,1.044,0.489,,,"0000-0002-1697-6425",
"bafa46e3-ecbc-4950-97d1-10c30aee306a","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2019-07-09T19:35Z","2019-07-09T19:35Z","HEAL_004-O-36.5-9-20190709","B00000046262","HEAL_004-O-36.5-9-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.280,7.200,5.350,0.603,0.624,,,"0000-0002-1697-6425",
"143afdf9-35b4-4bfa-9e60-fa0c7352e60b","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2019-07-09T19:56Z","2019-07-09T19:56Z","HEAL_004-O-22.5-33-20190709","B00000046261","HEAL_004-O-22.5-33-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.280,7.160,3.660,2.536,0.283,,,"0000-0002-1697-6425",
"f6f0f8e5-4f9c-4b7d-a96a-9a5a071eb989","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2019-07-09T20:19Z","2019-07-09T20:19Z","HEAL_004-O-4.5-31-20190709","B00000046260","HEAL_004-O-4.5-31-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.300,7.250,4.590,1.162,0.463,,,"0000-0002-1697-6425",
"6b866862-1f47-4a1b-ae0b-809be0230923","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2019-07-09T20:49Z","2019-07-09T20:49Z","HEAL_005-O-0-38.5-20190709","B00000046247","HEAL_005-O-0-38.5-20190709-SM","NEON.DOC.014048vL","O","2019-07-11T21:08Z","2019-07-15T16:15Z",2.310,7.370,4.080,1.859,0.350,,,"0000-0002-1697-6425",
