uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"fb5f6944-d5f3-4ade-91c4-4d58b0467d93","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T19:51Z","2021-06-22T20:39Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_046-O-1.5-29-20210622|HEAL_046-O-32.5-29.5-20210622|HEAL_046-O-8.5-7-20210622","HEAL_046-O-20210622-COMP","B00000127518","OK","0000-0002-2117-4697",,
"1a1bcde3-acd8-46ba-a8dc-e7521a2f0ed0","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T19:51Z","2021-06-22T20:39Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_046-M-32.5-29.5-20210622|HEAL_046-M-8.5-7-20210622|HEAL_046-M-1.5-29-20210622","HEAL_046-M-20210622-COMP","B00000127519","OK","0000-0002-2117-4697",,
"181714d3-58c1-49fe-9f7b-efc10fcd2667","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T21:55Z","2021-06-22T22:53Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_047-M-12.5-34.5-20210622|HEAL_047-M-30-36.5-20210622|HEAL_047-M-36.5-11.5-20210622","HEAL_047-M-20210622-COMP","B00000127520","OK","0000-0002-2117-4697",,
"e375197a-0143-4b31-8015-b3341a836821","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T21:55Z","2021-06-22T22:53Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_047-O-36.5-11.5-20210622|HEAL_047-O-30-36.5-20210622|HEAL_047-O-12.5-34.5-20210622","HEAL_047-O-20210622-COMP","B00000127521","OK","0000-0002-2117-4697",,
"23525723-baf6-4f4d-b10f-7c89d31b81c4","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-22T23:48Z","2021-06-22T23:48Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_045-M-6-10-20210622","HEAL_045-M-20210622-COMP","B00000127517","OK","0000-0002-2117-4697",,
"416918df-9766-4b4f-8ac0-b5fbc3914e93","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-22T23:48Z","2021-06-23T00:55Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_045-O-6-10-20210622|HEAL_045-O-20.5-30-20210622|HEAL_045-O-18.5-34-20210622","HEAL_045-O-20210622-COMP","B00000127516","OK","0000-0002-2117-4697",,
"d98dcba3-8375-4a08-af09-2ee0041f71d0","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-22T23:53Z","2021-06-23T01:01Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_048-O-9.5-21.5-20210622|HEAL_048-O-2-7.5-20210622|HEAL_048-O-39-24.5-20210622","HEAL_048-O-20210622-COMP","B00000127523","OK","0000-0002-2117-4697",,
"1751d0ae-4fbf-46e4-9e80-739150d39d53","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T00:19Z","2021-06-23T01:01Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_048-M-2-7.5-20210622|HEAL_048-M-9.5-21.5-20210622","HEAL_048-M-20210622-COMP","B00000127522","OK","0000-0002-2117-4697",,
"c06a0aed-3c2a-463c-ab21-60fdd08399d3","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:14Z","2021-06-23T20:08Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_005-O-6-8.5-20210623|HEAL_005-O-36-25-20210623|HEAL_005-O-34.5-7.5-20210623","HEAL_005-O-20210623-COMP","B00000127509","OK","0000-0002-2117-4697",,
"5f69e20c-9d03-4dcb-8cb5-eebb1543a349","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:14Z","2021-06-23T20:08Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_005-M-36-25-20210623|HEAL_005-M-6-8.5-20210623|HEAL_005-M-34.5-7.5-20210623","HEAL_005-M-20210623-COMP","B00000127524","OK","0000-0002-2117-4697",,
"ff443130-61f9-4540-a3b3-390147dd5844","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2021-06-23T22:38Z","2021-06-23T23:21Z","HEAL.peakGreenness.2021","NEON.DOC.014048vN","HEAL_001-O-22.5-33.5-20210623|HEAL_001-O-6.5-15.5-20210623|HEAL_001-O-2.5-21-20210623","HEAL_001-O-20210623-COMP","B00000127506","OK","0000-0002-2117-4697",,
