uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"60065295-c8f3-4b97-983e-8e63ab0b2b6d","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T19:51Z","2021-06-22T19:51Z","HEAL_046-O-1.5-29-20210622","A00000307217","HEAL_046-O-1.5-29-20210622-CN","A00000307178","soil","N","N",1.7,-27.1,1.51,39.35,26.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"efa17591-26bf-4e87-ac49-056cbd137771","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T19:51Z","2021-06-22T19:51Z","HEAL_046-M-1.5-29-20210622","A00000307201","HEAL_046-M-1.5-29-20210622-CN","A00000307204","soil","N","N",2.5,-26.0,1.18,26.31,22.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"766c584e-b73c-4324-b668-aa8412bbc0c5","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T20:28Z","2021-06-22T20:28Z","HEAL_046-M-8.5-7-20210622","A00000307202","HEAL_046-M-8.5-7-20210622-CN","A00000307188","soil","N","N",2.3,-26.1,0.20,4.97,24.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"8444837b-4eae-45af-b7d9-c9224e5402f9","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T20:28Z","2021-06-22T20:28Z","HEAL_046-O-8.5-7-20210622","A00000307218","HEAL_046-O-8.5-7-20210622-CN","A00000307194","soil","N","N",0.6,-26.3,1.15,44.58,38.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"0482dbee-812d-49b2-9210-7ddb378ff792","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T20:39Z","2021-06-22T20:39Z","HEAL_046-M-32.5-29.5-20210622","A00000307200","HEAL_046-M-32.5-29.5-20210622-CN","A00000307172","soil","N","N",2.6,-26.1,1.41,32.14,22.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"5e7a1e7c-d52a-4776-a2ca-641281c08ba7","2021-08-04","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","tower","2021-06-22T20:39Z","2021-06-22T20:39Z","HEAL_046-O-32.5-29.5-20210622","A00000307357","HEAL_046-O-32.5-29.5-20210622-CN","A00000307210","soil","N","N",0.3,-27.3,1.16,44.50,38.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"384377ea-a7b5-45b6-99e4-6063197eb3a0","2021-08-04","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T21:55Z","2021-06-22T21:55Z","HEAL_047-O-30-36.5-20210622","A00000307183","HEAL_047-O-30-36.5-20210622-CN","A00000307209","soil","N","N",0.8,-26.4,0.80,24.02,29.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"4eea6412-5d55-461b-9596-f83fe32aff61","2021-12-03","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T21:55Z","2021-06-22T21:55Z","HEAL_047-M-30-36.5-20210622","A00000307181","HEAL_047-M-30-36.5-20210622-CN","A00000307219","soil","N","N",3.3,-25.8,0.08,1.49,18.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2d5c8b0f-f3ec-4c98-92f1-d0b632221ef1","2021-08-04","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T22:02Z","2021-06-22T22:02Z","HEAL_047-O-36.5-11.5-20210622","A00000307182","HEAL_047-O-36.5-11.5-20210622-CN","A00000307225","soil","N","N",0.1,-27.5,1.30,43.67,33.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"e2c2d315-dea2-4b87-a3b9-7e3492586a7d","2021-08-04","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T22:02Z","2021-06-22T22:02Z","HEAL_047-M-36.5-11.5-20210622","A00000307169","HEAL_047-M-36.5-11.5-20210622-CN","A00000307203","soil","N","N",0.6,-27.4,0.15,3.49,22.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"41119e8e-b289-4ea2-b690-5104b11d8a7e","2021-08-04","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T22:53Z","2021-06-22T22:53Z","HEAL_047-M-12.5-34.5-20210622","A00000307170","HEAL_047-M-12.5-34.5-20210622-CN","A00000307251","soil","N","N",3.5,-26.1,0.16,4.27,26.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"5c664a7a-9afe-4455-a748-b87ba353a962","2021-08-04","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","tower","2021-06-22T22:53Z","2021-06-22T22:53Z","HEAL_047-O-12.5-34.5-20210622","A00000307184","HEAL_047-O-12.5-34.5-20210622-CN","A00000307241","soil","N","N",0.3,-25.7,0.80,29.13,36.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"a5d3d2fb-9c0d-4bc8-b446-784f44265659","2021-08-04","HEAL_045.basePlot.bgc","D19","HEAL","HEAL_045","tower","2021-06-22T23:48Z","2021-06-22T23:48Z","HEAL_045-O-6-10-20210622","A00000307167","HEAL_045-O-6-10-20210622-CN","A00000307242","soil","N","N",1.0,-26.3,1.52,43.62,28.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"348c893b-0f5b-49be-a9d0-d93756affb97","2021-08-04","HEAL_045.basePlot.bgc","D19","HEAL","HEAL_045","tower","2021-06-22T23:48Z","2021-06-22T23:48Z","HEAL_045-M-6-10-20210622","A00000307168","HEAL_045-M-6-10-20210622-CN","A00000307173","soil","N","N",1.9,-26.1,1.88,41.91,22.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"40406000-0b3f-488e-9838-b6ab625e5af2","2021-08-04","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2021-06-22T23:53Z","2021-06-22T23:53Z","HEAL_048-O-39-24.5-20210622","A00000307197","HEAL_048-O-39-24.5-20210622-CN","A00000307177","soil","N","N",-0.3,-26.6,1.21,43.10,35.6,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"1e7b6741-9ef9-4e52-b204-dd79aaeb63e8","2021-08-04","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2021-06-22T23:53Z","2021-06-22T23:53Z","HEAL_048-O-39-24.5-20210622","A00000307197","HEAL_048-O-39-24.5-20210622-CN","A00000307177","soil","N","N",-0.4,-26.5,1.17,43.33,37.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
