uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"4f23a074-c72c-4691-9385-e4e1cc43ab12","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T19:51Z","2021-06-22T19:51Z","2021-08-13","HEAL_046-M-1.5-29-20210622","A00000307201","HEAL_046-M-1.5-29-20210622-PH","NEON.DOC.014048vN","M",4.67,4.09,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"c9167222-a03d-419a-aeac-9518dc0e28ad","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T19:51Z","2021-06-22T19:51Z","2021-08-11","HEAL_046-O-1.5-29-20210622","A00000307217","HEAL_046-O-1.5-29-20210622-PH","NEON.DOC.014048vN","O",4.72,4.08,5.0,60.0,12.0,5.0,120.0,24.0,,"0000-0002-2117-4697",
"44f9bab6-a712-447a-b225-a944e7a78f8a","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T20:28Z","2021-06-22T20:28Z","2021-08-11","HEAL_046-O-8.5-7-20210622","A00000307218","HEAL_046-O-8.5-7-20210622-PH","NEON.DOC.014048vN","O",4.50,3.53,5.0,80.0,16.0,5.0,160.0,31.9,,"0000-0002-2117-4697",
"0e4fc57c-0a97-4e77-a17e-d0525891555b","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T20:28Z","2021-06-22T20:28Z","2021-08-13","HEAL_046-M-8.5-7-20210622","A00000307202","HEAL_046-M-8.5-7-20210622-PH","NEON.DOC.014048vN","M",4.84,4.09,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"1d86f208-00d8-4e83-aa56-5773d94185e1","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T20:39Z","2021-06-22T20:39Z","2021-08-13","HEAL_046-M-32.5-29.5-20210622","A00000307200","HEAL_046-M-32.5-29.5-20210622-PH","NEON.DOC.014048vN","M",5.90,5.41,10.0,20.0,2.0,10.0,40.0,4.0,,"0000-0002-3309-2269",
"885d96ec-9f34-4271-ad9c-3c93cc8d2387","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2021-06-22T20:39Z","2021-06-22T20:39Z","2021-08-11","HEAL_046-O-32.5-29.5-20210622","A00000307357","HEAL_046-O-32.5-29.5-20210622-PH","NEON.DOC.014048vN","O",4.79,4.00,2.0,40.0,20.0,2.0,80.0,40.0,,"0000-0002-2117-4697",
"951819fc-967c-49d6-b089-64f505a813cb","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T21:55Z","2021-06-22T21:55Z","2021-08-11","HEAL_047-O-30-36.5-20210622","A00000307183","HEAL_047-O-30-36.5-20210622-PH","NEON.DOC.014048vN","O",4.75,3.71,5.0,40.0,8.0,5.0,80.0,16.0,,"0000-0002-2117-4697",
"be710544-7ad7-491a-987d-489fe6b838d3","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T21:55Z","2021-06-22T21:55Z","2021-08-13","HEAL_047-M-30-36.5-20210622","A00000307181","HEAL_047-M-30-36.5-20210622-PH","NEON.DOC.014048vN","M",5.25,4.50,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"d68d2928-79d8-4187-8242-d57ff6efef20","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T22:02Z","2021-06-22T22:02Z","2021-08-11","HEAL_047-O-36.5-11.5-20210622","A00000307182","HEAL_047-O-36.5-11.5-20210622-PH","NEON.DOC.014048vN","O",5.57,4.95,5.0,60.0,12.0,5.0,120.0,24.0,,"0000-0002-2117-4697",
"4828ca87-e13c-4c59-b919-ef7d1ebcf9cd","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T22:02Z","2021-06-22T22:02Z","2021-08-13","HEAL_047-M-36.5-11.5-20210622","A00000307169","HEAL_047-M-36.5-11.5-20210622-PH","NEON.DOC.014048vN","M",5.69,5.14,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"6b297b9a-94e5-4377-91c0-164d1e1b900b","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T22:53Z","2021-06-22T22:53Z","2021-08-11","HEAL_047-O-12.5-34.5-20210622","A00000307184","HEAL_047-O-12.5-34.5-20210622-PH","NEON.DOC.014048vN","O",4.75,3.86,5.0,40.0,8.0,5.0,80.0,15.9,,"0000-0002-2117-4697",
"da8f76e8-c1cb-4cc6-8ed7-797b67b05a18","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2021-06-22T22:53Z","2021-06-22T22:53Z","2021-08-13","HEAL_047-M-12.5-34.5-20210622","A00000307170","HEAL_047-M-12.5-34.5-20210622-PH","NEON.DOC.014048vN","M",5.25,4.66,10.0,40.0,4.0,10.0,80.0,8.0,,"0000-0002-3309-2269",
"54605f3a-7516-4e58-816b-7dc91b779a03","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-22T23:48Z","2021-06-22T23:48Z","2021-08-11","HEAL_045-O-6-10-20210622","A00000307167","HEAL_045-O-6-10-20210622-PH","NEON.DOC.014048vN","O",5.67,4.28,5.0,80.0,16.0,5.0,160.0,32.0,,"0000-0002-2117-4697",
"4f6c8d9a-71c1-4d4c-ad4d-d38536201db7","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-22T23:48Z","2021-06-22T23:48Z","2021-08-13","HEAL_045-M-6-10-20210622","A00000307168","HEAL_045-M-6-10-20210622-PH","NEON.DOC.014048vN","M",4.88,4.15,10.0,40.0,4.0,10.0,80.0,8.0,,"0000-0002-3309-2269",
"59ed8d13-2cc9-46be-8b71-aa3432cb7826","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-22T23:53Z","2021-06-22T23:53Z","2021-08-11","HEAL_048-O-39-24.5-20210622","A00000307197","HEAL_048-O-39-24.5-20210622-PH","NEON.DOC.014048vN","O",4.60,3.71,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"3ec2c0f8-c84e-48ff-b532-d70073a29967","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T00:19Z","2021-06-23T00:19Z","2021-08-11","HEAL_048-O-2-7.5-20210622","A00000307199","HEAL_048-O-2-7.5-20210622-PH","NEON.DOC.014048vN","O",4.01,4.03,5.0,60.0,12.0,5.0,120.0,24.0,,"0000-0002-2117-4697",
"790b0126-27ce-4217-8040-72f9572052dd","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T00:19Z","2021-06-23T00:19Z","2021-08-13","HEAL_048-M-2-7.5-20210622","A00000307186","HEAL_048-M-2-7.5-20210622-PH","NEON.DOC.014048vN","M",4.52,3.74,6.0,30.0,5.0,6.0,60.0,10.0,,"0000-0002-3309-2269",
