uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"d854bec8-8e6b-4fbb-bf21-8d116199844f","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T19:51Z","2021-07-12T21:26Z","HEAL_046-M-1.5-29-20210712",,"HEAL_046-M-1.5-29-20210712-KCL","B00000127681","ok","2021-10-29",0.147,1,"OK",,"2021-10-29",0.059,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"87eef477-777a-40d7-aed0-25886747f566","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T19:51Z","2021-07-12T21:26Z","HEAL_046-O-1.5-29-20210712",,"HEAL_046-O-1.5-29-20210712-KCL","B00000127679","ok","2021-10-29",0.182,1,"OK",,"2021-10-29",0.086,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"0a117c70-9fad-4591-98c5-c5583f92da73","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T19:51Z","2021-07-12T21:26Z","HEAL_046-M-1.5-29-20210712",,"HEAL_046-M-1.5-29-20210712-KCL","B00000127681","ok","2021-10-29",0.154,2,"OK",,"2021-10-29",0.059,2,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"65509b16-2ea6-4089-934c-f9d3ace33e3d","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T20:28Z","2021-07-12T21:40Z","HEAL_046-M-8.5-7-20210712",,"HEAL_046-M-8.5-7-20210712-KCL","B00000127682","ok","2021-10-29",0.103,1,"OK",,"2021-10-29",0.105,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"452eea0e-fed4-4d2f-b330-dc5bd5f2fcfd","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T20:28Z","2021-07-12T21:40Z","HEAL_046-O-8.5-7-20210712",,"HEAL_046-O-8.5-7-20210712-KCL","B00000127678","ok","2021-10-29",0.159,1,"OK",,"2021-10-29",0.051,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"69ee5acd-8e98-41ed-9399-f2b486bed954","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T20:39Z","2021-07-12T21:38Z","HEAL_046-M-32.5-29.5-20210712",,"HEAL_046-M-32.5-29.5-20210712-KCL","B00000127683","ok","2021-10-29",0.242,1,"OK",,"2021-10-29",0.144,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"fb6be490-622c-483a-8bb8-306a68892ebe","HEAL_046.basePlot.bgc","D19","HEAL","HEAL_046","2021-06-22T20:39Z","2021-07-12T21:38Z","HEAL_046-O-32.5-29.5-20210712",,"HEAL_046-O-32.5-29.5-20210712-KCL","B00000127680","ok","2021-10-29",0.229,1,"OK",,"2021-10-29",0.171,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"5f589a8b-41a9-4e0f-9d34-6c630026c938","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","2021-06-22T21:55Z","2021-07-12T20:32Z","HEAL_047-M-30-36.5-20210712",,"HEAL_047-M-30-36.5-20210712-KCL","B00000127687","ok","2021-10-29",0.061,1,"OK",,"2021-10-29",0.072,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"5113a4cd-724a-4e6c-bf3a-8ea2ab3e0e24","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","2021-06-22T21:55Z","2021-07-12T20:32Z","HEAL_047-O-30-36.5-20210712",,"HEAL_047-O-30-36.5-20210712-KCL","B00000127685","ok","2021-10-29",0.125,1,"OK",,"2021-10-29",0.111,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
"6839b0ed-0d4a-4e4c-b802-22ef26830022","HEAL_047.basePlot.bgc","D19","HEAL","HEAL_047","2021-06-22T22:02Z","2021-07-12T20:19Z","HEAL_047-M-36.5-11.5-20210712",,"HEAL_047-M-36.5-11.5-20210712-KCL","B00000127689","ok","2021-10-29",0.238,1,"OK",,"2021-10-29",0.085,1,"OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",
