uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"49a4deda-50c4-4e6f-9aae-cce557971b43","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T18:43Z","2019-08-26T18:43Z","NEON.DOC.014048vL","M","2019-08-27T20:00Z","2019-08-30T00:06Z","BONA_071-M-6.5-19-20190826","A00000100811","BONA_071-M-6.5-19-20190826-CN","A00000103244","BONA_071-M-6.5-19-20190826-BA","A00000100649",,,"OK",,"0000-0002-2117-4697",
"29c4df94-db53-4cfe-b379-916e25932bf7","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T18:43Z","2019-08-26T18:43Z","NEON.DOC.014048vL","O","2019-08-27T20:00Z","2019-08-30T00:01Z","BONA_071-O-6.5-19-20190826","A00000103276","BONA_071-O-6.5-19-20190826-CN","A00000103248","BONA_071-O-6.5-19-20190826-BA","A00000100646",,,"OK",,"0000-0002-2117-4697",
"cfbf154e-1467-49ca-955e-2e7c2230f8f7","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T19:34Z","2019-08-26T19:34Z","NEON.DOC.014048vL","M","2019-08-27T20:00Z","2019-08-30T00:06Z","BONA_071-M-37-8.5-20190826","A00000100810","BONA_071-M-37-8.5-20190826-CN","A00000103246","BONA_071-M-37-8.5-20190826-BA","A00000100668",,,"OK",,"0000-0002-2117-4697",
"c1ca02e6-6d2d-4ceb-a7d9-e86c8e0e8840","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T19:34Z","2019-08-26T19:34Z","NEON.DOC.014048vL","O","2019-08-27T20:00Z","2019-08-30T00:08Z","BONA_071-O-37-8.5-20190826","A00000103277","BONA_071-O-37-8.5-20190826-CN","A00000103247","BONA_071-O-37-8.5-20190826-BA","A00000100648",,,"OK",,"0000-0002-2117-4697",
"5cb58ba2-4f07-4acf-9aef-6445b7f2a5b8","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T20:22Z","2019-08-26T20:22Z","NEON.DOC.014048vL","O","2019-08-27T20:00Z","2019-08-30T00:01Z","BONA_071-O-39-31.5-20190826","A00000103278","BONA_071-O-39-31.5-20190826-CN","A00000103249","BONA_071-O-39-31.5-20190826-BA","A00000100647",,,"OK",,"0000-0002-2117-4697",
"011392d8-0cf4-4821-92fd-7fae75d03b02","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2019-08-26T20:22Z","2019-08-26T20:22Z","NEON.DOC.014048vL","M","2019-08-27T20:00Z","2019-08-30T00:07Z","BONA_071-M-39-31.5-20190826","A00000100809","BONA_071-M-39-31.5-20190826-CN","A00000103245","BONA_071-M-39-31.5-20190826-BA","A00000100645",,,"OK",,"0000-0002-2117-4697",
"93d16a43-6f02-4300-a0fa-62fcb15d442a","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2019-08-26T22:20Z","2019-08-26T22:20Z","NEON.DOC.014048vL","O","2019-08-27T20:00Z","2019-08-30T00:02Z","BONA_070-O-26-8.5-20190826","A00000103265","BONA_070-O-26-8.5-20190826-CN","A00000103255","BONA_070-O-26-8.5-20190826-BA","A00000103301",,,"OK",,"0000-0002-2117-4697",
"86680636-5df7-4405-ac3b-23a943101832","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2019-08-26T22:20Z","2019-08-26T22:20Z","NEON.DOC.014048vL","M","2019-08-27T20:00Z","2019-09-04T00:03Z","BONA_070-M-26-8.5-20190826","A00000100808","BONA_070-M-26-8.5-20190826-CN","A00000103252","BONA_070-M-26-8.5-20190826-BA","A00000103299",,,"OK",,"0000-0002-2117-4697",
"4ca8149b-9ac8-4df8-802a-a13e7a255f6e","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2019-08-26T22:21Z","2019-08-26T22:21Z","NEON.DOC.014048vL","O","2019-08-27T20:00Z","2019-08-30T00:03Z","BONA_080-O-5-9-20190826","A00000103279","BONA_080-O-5-9-20190826-CN","A00000103242","BONA_080-O-5-9-20190826-BA","A00000100643",,,"OK",,"0000-0002-2117-4697",
"3ddd6106-a927-469c-bfb9-8cc1cfe5023c","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2019-08-26T22:23Z","2019-08-26T22:23Z","NEON.DOC.014048vL","M","2019-08-27T20:00Z","2019-08-30T00:00Z","BONA_080-M-5-9-20190826","A00000100812","BONA_080-M-5-9-20190826-CN","A00000103272","BONA_080-M-5-9-20190826-BA","A00000100639",,,"OK",,"0000-0002-2117-4697",
