uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"3f101418-4c35-496d-8dc6-2ddf1bf58608","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:22Z","2023-06-26T17:22Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_048-M-23-20230626","A00000309890","DEJU_048-M-23-20230626-CN","A00000428279","DEJU_048-M-23-20230626-BA","A00000028273",124.8,"N","OK",,"0009-0008-9693-2027",
"674014ab-ae3a-47fd-bb34-3f7d2fc37f9a","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T17:32Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_045-O-21-20230626","A00000427678","DEJU_045-O-21-20230626-CN","A00000428301","DEJU_045-O-21-20230626-BA","A00000429454",20.8,"N","OK",,"0009-0002-9286-7877",
"fad96c8e-5075-48e2-96ee-170fa863620e","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T17:32Z","2023-06-26T17:32Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_045-M-21-20230626","A00000309389","DEJU_045-M-21-20230626-CN","A00000428262","DEJU_045-M-21-20230626-BA","A00000429444",165.1,"N","OK",,"0009-0008-9693-2027",
"c3c42ba1-7a36-4dc7-bba2-f8dd2c242663","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T17:45Z","2023-06-26T17:45Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_048-O-23-20230626","A00000427689","DEJU_048-O-23-20230626-CN","A00000428277","DEJU_048-O-23-20230626-BA","A00000310138",20.9,"N","OK",,"0009-0008-9693-2027",
"a87a0ccc-df0c-40a8-a785-e0438d1f8099","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T18:45Z","2023-06-26T18:45Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:30Z","DEJU_048-M-41-20230626","A00000309722","DEJU_048-M-41-20230626-CN","A00000428278","DEJU_048-M-41-20230626-BA","A00000349186",70.5,"N","OK",,"0009-0008-9693-2027",
"ae0e8f55-696d-4731-a3cc-6b358a0486eb","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T18:45Z","2023-06-26T18:45Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_048-O-41-20230626","A00000427687","DEJU_048-O-41-20230626-CN","B00000147274","DEJU_048-O-41-20230626-BA","A00000429439",21.5,"N","OK",,"0009-0002-9286-7877",
"a0830bde-7668-490c-a1da-de553b4b0cc4","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T18:52Z","2023-06-26T18:52Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_045-M-23-20230626","A00000309388","DEJU_045-M-23-20230626-CN","A00000428287","DEJU_045-M-23-20230626-BA","A00000429438",179.1,"N","OK",,"0009-0008-9693-2027",
"e1173f6c-9d94-4906-9a59-129e18ec28b9","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T20:08Z","2023-06-26T20:08Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_048-M-21-20230626","A00000309893","DEJU_048-M-21-20230626-CN","A00000428263","DEJU_048-M-21-20230626-BA","A00000308671",127.0,"N","OK",,"0009-0008-9693-2027",
"8b3b5b5a-f459-4c13-9c57-da063bb8a6c9","D19","DEJU","DEJU_048","DEJU_048.basePlot.bgc","2023-06-26T20:08Z","2023-06-26T20:08Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_048-O-21-20230626","A00000427688","DEJU_048-O-21-20230626-CN","A00000428305","DEJU_048-O-21-20230626-BA","A00000307020",20.0,"N","OK",,"0009-0002-9286-7877",
"7b29ca58-01f7-498c-bc80-c86f5681cda7","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T20:15Z","2023-06-26T20:15Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_045-O-41-20230626","A00000427680","DEJU_045-O-41-20230626-CN","A00000428306","DEJU_045-O-41-20230626-BA","A00000429437",46.9,"N","OK",,"0009-0002-9286-7877",
"b05f9fdf-a61d-493e-b6e4-333f0dcb148d","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2023-06-26T20:48Z","2023-06-26T20:48Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:08Z","DEJU_045-M-41-20230626","A00000309726","DEJU_045-M-41-20230626-CN","A00000428288","DEJU_045-M-41-20230626-BA","A00000429453",120.4,"N","OK",,"0009-0008-9693-2027",
"02e639af-786a-41ad-953c-e2b31a970c62","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2023-06-26T21:39Z","2023-06-26T21:39Z","NEON.DOC.014048vO","M","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_046-M-41-20230626","A00000309724","DEJU_046-M-41-20230626-CN","A00000428291","DEJU_046-M-41-20230626-BA","A00000429441",83.0,"N","OK",,"0009-0008-9693-2027",
"404f0708-f1ba-4fa7-b276-611a32875c98","D19","DEJU","DEJU_046","DEJU_046.basePlot.bgc","2023-06-26T21:39Z","2023-06-26T21:39Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_046-O-41-20230626","A00000427683","DEJU_046-O-41-20230626-CN","A00000428295","DEJU_046-O-41-20230626-BA","A00000310145",29.9,"N","OK",,"0009-0002-9286-7877",
"59a6c735-ce36-461e-a6fc-828b30bfe52a","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2023-06-26T21:48Z","2023-06-26T21:48Z","NEON.DOC.014048vO","O","2023-06-28T01:00Z","2023-06-30T19:00Z","DEJU_047-O-21-20230626","A00000427684","DEJU_047-O-21-20230626-CN","A00000428294","DEJU_047-O-21-20230626-BA","A00000349182",19.1,"N","OK",,"0009-0002-9286-7877",
